,rank,date,title,artist1,artist2,peak_pos,wks_chart,b_url,lyrics,g_url
0,1,2013-01-05,Locked Out Of Heaven,Bruno Mars,,1,12,https://www.billboard.com/charts/hot-100/2013-01-05,"(One, two, one, two, three)Aw, yeah, yeahAw, yeah, yeah, yeah, yeah (Ooh)Aw, yeah, yeahAw, yeah, yeah, yeah, yeah (Ooh)Never had much faith in love or miracles (Ooh)Never wanna put my heart on the line (Ooh)But swimming in your water's something spiritual (Ooh)I'm born again every time you spend the night (Ooh)'Cause your sex takes me to paradiseYeah, your sex takes me to paradiseAnd it showsYeah, yeah, yeah'Cause you make me feel likeI've been locked out of heavenFor too long, for too longYeah, you make me feel likeI've been locked out of heavenFor too long, for too longAw, yeah, yeah, yeah, yeah (Ooh)Aw, yeah, yeahAw, yeah, yeah, yeah, yeah (Ooh)You bring me to my knees, you make me testify (Ooh)You can make a sinner change his ways (Ooh)Open up your gates 'cause I can't wait to see the light (Ooh)And right there is where I wanna stay (Ooh)'Cause your sex takes me to paradiseYeah, your sex takes me to paradiseAnd it showsYeah, yeah, yeah'Cause you make me feel likeI've been locked out of heavenFor too long, for too longYeah, you make me feel likeI've been locked out of heavenFor too long, for too long Oh, oh, oh, oh, yeah, yeah, yeahCan I just stay here?Spend the rest of my days here?Oh, oh, oh, oh, yeah, yeah, yeahCan I just stay here?Spend the rest of my days here?'Cause you make me feel likeI've been locked out of heavenFor too long, for too longYeah, you make me feel likeI've been locked out of heavenFor too long, for too longAw, yeah, yeah, yeah, yeah (Ooh)Aw, yeah, yeahAw, yeah, yeah, yeah, yeah (Ooh)",https://www.genius.com/Bruno-Mars-Locked-Out-Of-Heaven-lyrics
1,2,2013-01-05,Diamonds,Rihanna,,1,13,https://www.billboard.com/charts/hot-100/2013-01-05,"Shine bright like a diamondShine bright like a diamondFind light in the beautiful seaI choose to be happyYou and I, you and I, we're like diamonds in the skyYou're a shooting star I see, a vision of ecstasyWhen you hold me, I'm alive, we're like diamonds in the skyI knew that we'd become one right awayOh, right awayAt first sight, I felt the energy of sun raysI saw the life inside your eyesSo shine bright, tonight, you and IWe're beautiful, like diamonds in the skyEye to eye, so aliveWe're beautiful, like diamonds in the skyShine bright like a diamond (Woah)Shine bright like a diamond (Woah)Shinin' bright like a diamondWe're beautiful, like diamonds in the skyShine bright like a diamond (Woah)Shine bright like a diamond (Woah)Shinin' bright like a diamondWe're beautiful, like diamonds in the skyPalms rise to the universe as we moonshine and mollyFeel the warmth, we'll never dieWe're like diamonds in the skyYou're a shooting star I see, a vision of ecstasyWhen you hold me, I'm aliveWe're like diamonds in the skyAt first sight, I felt the energy of sun raysI saw the life inside your eyes So shine bright, tonight, you and IWe're beautiful, like diamonds in the skyEye to eye, so aliveWe're beautiful, like diamonds in the skyShine bright like a diamond (Woah)Shine bright like a diamond (Woah)Shinin' bright like a diamondWe're beautiful, like diamonds in the skyShine bright like a diamond (Woah)Shine bright like a diamond (Woah)Shinin' bright like a diamondWe're beautiful, like diamonds in the skyShine bright like a diamondShine bright like a diamondShine bright like a diamondSo shine bright, tonight, you and IWe're beautiful, like diamonds in the skyEye to eye, so aliveWe're beautiful, like diamonds in the sky Shine bright like a diamond (Woah)Shine bright like a diamond (Woah)Shine bright like a diamondOh-oh, yeahShine bright like a diamond (Woah)Shine bright like a diamond (Woah)Shine bright like a diamondShine bright like a diamond",https://www.genius.com/Rihanna-Diamonds-lyrics
2,3,2013-01-05,Ho Hey,The Lumineers,,3,29,https://www.billboard.com/charts/hot-100/2013-01-05,"Ho!Hey!Ho!Hey!Ho!I been trying to do it right (Hey!)I been living a lonely life (Ho!)I been sleepin' here instead (Hey!)I been sleepin' in my bed (Ho!)Sleepin' in my bed (Hey! Ho! Ho!)So show me family (Hey!)All the blood that I will bleed (Ho!)I don't know where I belong (Hey!)I don't know where I went wrong (Ho!)But I can write a song (Hey!)(One, two, three)I belong with you, you belong with meYou're my sweetheartI belong with you, you belong with meYou're my sweet...Ho!Hey! (C'mon girl)Ho!Hey, hey!Ho!I don't think you're right for him (Hey!)Think of what it might have been if we (Ho!)Took a bus to Chinatown (Hey!)I'd be standin' on Canal (Ho!)And Bowery (Hey! Ho!)And she'd be standin' next to me (Hey!)I belong with you, you belong with meYou're my sweetheartI belong with you, you belong with meYou're my sweetheart Love, we need it nowLet's hope for some'Cause oh, we're bleedin' outI belong with you, you belong with meYou're my sweetheartI belong with you, you belong with meYou're my sweet…Ho!Hey!Ho! (Last one)Hey!",https://www.genius.com/The-Lumineers-Ho-Hey-lyrics
3,4,2013-01-05,I Knew You Were Trouble.,Taylor Swift,,3,10,https://www.billboard.com/charts/hot-100/2013-01-05,"Once upon a time, a few mistakes agoI was in your sights, you got me aloneYou found me, you found meYou found me-e-e-e-eI guess you didn't care, and I guess I liked thatAnd when I fell hard, you took a step backWithout me, without meWithout me-e-e-e-eAnd he's long gone when he's next to meAnd I realize the blame is on me'Cause I knew you were trouble when you walked inSo shame on me nowI'll flew me to places I'd never been'Til you put me down, ohI knew you were trouble when you walked inSo shame on me nowFlew me to places I'd never beenNow I'm lying on the cold hard groundOh, oh-ohTrouble, trouble, troubleOh, oh-ohTrouble, trouble, troubleNo apologies, he'll never see you cryPretends he doesn't know that he's the reason whyYou're drowning, you're drowningYou're drowning-ing-ing-ing-ingAnd I heard you moved on from whispers on the streetA new notch in your belt is all I'll ever beAnd now I see, now I seeNow I see-e-e-e-eHe was long gone when he met meAnd I realize the joke is on me, yeah I knew you were trouble when you walked in (Oh)So shame on me nowI'll flew me to places I'd never been'Til you put me down, ohI knew you were trouble when you walked inSo shame on me nowFlew me to places I'd never been (Yeah)Now I'm lying on the cold hard groundOh, oh-ohTrouble, trouble, trouble (Yeah, trouble)Oh, oh-ohTrouble, trouble, troubleAnd the saddest fearComes creeping inThat you never loved meOr her, or anyone, or anything (Yeah)I knew you were trouble when you walked inSo shame on me nowI'll flew me to places I'd never been (Never been)'Til you put me down, ohI knew you were trouble when you walked in (Knew it right there)So shame on me now (Knew it right there)Flew me to places I'd never been (Ooh)Now I'm lying on the cold hard groundOh, oh-ohTrouble, trouble, trouble (Oh)Oh, oh-ohTrouble, trouble, troubleI knew you were trouble when you walked inTrouble, trouble, troubleI knew you were trouble when you walked inTrouble, trouble, trouble ",https://www.genius.com/Taylor-Swift-I-Knew-You-Were-Trouble-lyrics
4,5,2013-01-05,Beauty And A Beat,Justin Bieber,['Nicki Minaj'],5,11,https://www.billboard.com/charts/hot-100/2013-01-05,"YeahYoung MoneyNicki MinajJustin, rrrShow you offTonight, I wanna show you off (Ayy-ayy-ayy)What you gotA billion could've never bought (Ayy-ayy-ayy)We gonna party like it's 3012 tonightI wanna show you all the finer things in lifeSo just forget about the world, we young tonightI'm coming for ya, I'm coming for ya'Cause all I need is a beauty and a beatWho can make my life completeIt's all 'bout youWhen the music makes you moveBaby, do it like you doBody rockGirl, I can feel your body rock (Ayy-ayy-ayy)Take a bowYou're on the hottest ticket now, ooh (Ayy-ayy-ayy)We gonna party like it's 3012 tonightI want to show you all the finer things in lifeSo just forget about the world, we young tonightI'm coming for ya, I'm coming for ya'Cause all I need is a beauty and a beatWho can make my life completeIt's all 'bout youWhen the music makes you moveBaby, do it like you do Uh, uhIn time, ink linesBitches couldn't get on my inclineWorld tours, it's mineTen little letters on a big signJustin Bieber, you know I'ma hit 'em with the etherBuns out, wiener, but I gotta keep an eye out for SelenerBeauty, beauty and the beastBeauty from the EastBeautiful confessions of the priestBeast, beauty from the streets, beat will get deceasedEvery time Beauty on the beat eatsBody rock (Yeah, yeah, yeah)Girl, I wanna feel your body rock (Let's go, let's go)'Cause all (All I need is love), I need is a beauty and a beatWho can make my life complete (Whoa-oh-oh)It's all 'bout you (All I need is you)When the music makes you moveBaby, do it like you do",https://www.genius.com/Justin-Bieber-Beauty-And-A-Beat-lyrics
5,6,2013-01-05,Die Young,Ke$ha,,2,13,https://www.billboard.com/charts/hot-100/2013-01-05,"I hear your heart beat to the beat of the drumsOh, what a shame that you came here with someoneSo while you're here in my armsLet's make the most of the night, like we're gonna die youngWe're gonna die youngWe're gonna die youngLet's make the most of the night, like we're gonna die youngLet's make the most of the night, like we're gonna die youngYoung hearts, out our minds, runnin' 'til we outta timeWild childs, lookin' good, livin' hard just like we shouldDon't care who's watchin' when we tearin' it up (You know)That magic that we got, nobody can touch (Fo' sho')Lookin' for some trouble tonight (Yeah)Take my hand, I'll show you the wild sideLike it's the last night of our lives (Uh-huh)We'll keep dancin' 'til we dieI hear your heart beat to the beat of the drumsOh, what a shame that you came here with someoneSo while you're here in my armsLet's make the most of the night, like we're gonna die youngWe're gonna die youngWe're gonna die youngLet's make the most of the night, like we're gonna die youngLet's make the most of the night, like we're gonna die youngYoung punks takin' shots, strippin' down to dirty socksMusic up, gettin' hot, kiss me, gimme all you gotIt's pretty obvious that you got a crush (You know)That magic in your pants, it's makin' me blush (Fo' sho')Lookin' for some trouble tonight (Yeah)Take my hand, I'll show you the wild sideLike it's the last night of our lives (Uh-huh)We'll keep dancin' 'til we die I hear your heart beat to the beat of the drumsOh, what a shame that you came here with someoneSo while you're here in my armsLet's make the most of the night, like we're gonna die youngI hear your heart beat to the beat of the drumsOh, what a shame that you came here with someoneSo while you're here in my armsLet's make the most of the night, like we're gonna die youngWe're gonna die youngWe're gonna die youngLet's make the most of the night, like we're gonna die young",https://www.genius.com/Ke-ha-Die-Young-lyrics
6,7,2013-01-05,One More Night,Maroon 5,,1,27,https://www.billboard.com/charts/hot-100/2013-01-05,"Ooh, ooh-ooh-ooh, ooh-ooh, ooh-oohOoh, ooh-ooh-ooh, ooh-ooh, ooh-oohYou and I go hard at each other like we're going to warYou and I go rough, we keep throwing things and slamming the doorsYou and I get so damn dysfunctional, we stopped keeping scoreYou and I get sick, yeah, I know that we can't do this no moreYeah but baby, there you go again, there you go againMaking me love youYeah, I stopped using my head, using my headLet it all goGot you stuck on my body, on my body like a tattooAnd now I'm feeling stupid, feeling stupid crawling back to youSo I cross my heart, and I hope to dieThat I'll only stay with you one more nightAnd I know I've said it a million timesBut I'll only stay with you one more nightTry to tell you ""no,"" but my body keeps on telling you ""yes""Try to tell you ""stop,"" but your lipstick got me so out of breathI'll be waking up in the morning, probably hating myselfAnd I'll be waking up, feeling satisfied, but guilty as hellYeah but baby, there you go again, there you go againMaking me love you (Making me love you)Yeah, I stopped using my head, using my headLet it all go (Let it all go)Got you stuck on my body, on my body like a tattoo (Like a tattoo, yeah)And now I'm feeling stupid, feeling stupid crawling back to youSo I cross my heart, and I hope to die (Yeah)That I'll only stay with you one more night (Oh)And I know I've said it a million times (Yeah)But I'll only stay with you one more night (Yeah) (Ooh, ooh-ooh-ooh, ooh-ooh, ooh-ooh)Yeah, baby, give me one more night(Ooh, ooh-ooh-ooh, ooh-ooh, ooh-ooh)Yeah, baby, give me one more night (Whoa, yeah)(Ooh, ooh-ooh-ooh, ooh-ooh, ooh-ooh)Yeah, baby, give me one more night(Ooh, ooh-ooh-ooh, ooh-ooh, ooh-ooh)Oh yeah yeahBut baby, there you go again, there you go againMaking me love youYeah, I stopped using my head, using my headLet it all goGot you stuck on my body, on my body like a tattoo, yeah, yeahYeah, yeahSo I cross my heart, and I hope to die (Oh-oh-oh-oh, oh-oh-oh-oh)That I'll only stay with you one more night (Oh-oh-oh-oh-oh-oh)And I know I've said it a million times(Oh, I've said it a million times)But I'll only stay with you one more night(Yeah, baby, give me one more night)So I cross my heart and I hope to die (Yeah, yeah)That I'll only stay with you one more night (Yeah, yeah)And I know I've said it a million times (Yeah, yeah)But I'll only stay with you one more night (Yeah, yeah) I dunnoWhatever, whatever",https://www.genius.com/Maroon-5-One-More-Night-lyrics
7,8,2013-01-05,I Cry,Flo Rida,,6,13,https://www.billboard.com/charts/hot-100/2013-01-05,"I knowCaught up in the middleI cry, just a littleWhen I think of letting goOh noGave up on the riddleI cry, just a littleWhen I think of letting goI know you wanna get behind the wheel, but only one RidaEyes shut, still got me swimming like a diverCan't let go, I got fans in OkinawaMy heart to Japan, quake losers and survivorsNorway, no, you didn't get my flowersNo way to say it better, but the killer was a CowardFace just showered, the minute in a hourHeard about the news, whole day went sourLil mama got me feeling like a lemon-headPut you in the box just as poisonous as cigarettesGive 'em my regards or regardless I get arrestedAin't worried about the killers, just the young and restlessGetting mad cause the quarter million on my necklaceDUI never said I was driving recklessYou and I know that jealously is not impressiveOh no, I can't stop, I was destinedI knowCaught up in the middleI cry, just a littleWhen I think of letting goOh noGave up on the riddleI cry, just a littleWhen I think of letting goI knowCaught up in the middleI cry, just a littleWhen I think of letting goOh noGave up on the riddleI cry, just a littleWhen I think of letting goChampagne buckets still got two tears in itAnd I put that on my tattoo of Jimi HendrixGet the pressed leather outfit all in it'Cause the press tell it all get a meal ticketClean next, get a call, just a lil visitSacrifice just to make a hit still vividReality stressed when you're blessed, just kill criticsBuggatti never meant I'm rich, just God-fearingLook at me steering, got the bossing staringGot a good feeling, Mr. Mike CarenTell his Billie Jeans, I'm on another planetThank E-Class, Big Chuck or Lee Prince PerriesBuy my momma chandeliers on my tears, dammitThirty years you had thought these emotions vanishTryna live, tryna figure how your sister vanishNo cheers, I know you wouldn't panic I knowCaught up in the middleI cry, just a littleWhen I think of letting goOh noGave up on the riddleI cry, just a littleWhen I think of letting goI knowCaught up in the middleI cry, just a littleWhen I think of letting goOh noGave up on the riddleI cry, just a littleWhen I think of letting goWhen I need a healing, I just look up to the ceilingI see the sun coming down, I know it's all better nowWhen I need a healing, I just look up to the ceilingI see the sun coming down, I know it's all better nowWhen I need a healing, I just look up to the ceilingI see the sun coming down I know it's all better nowWhen I need a healing, I just look up to the ceilingI see the sun coming down, I know it's all better now I knowI knowI knowI knowI, I, I, II think of letting go, go, goI knowCaught up in the middleI cry, just a littleWhen I think of letting goOh noGave up on the riddleI cry, just a littleWhen I think of letting goI knowCaught up in the middleI cry, just a littleWhen I think of letting goOh noGave up on the riddleI cry, just a littleWhen I think of letting go",https://www.genius.com/Flo-Rida-I-Cry-lyrics
8,9,2013-01-05,Home,Phillip Phillips,,7,26,https://www.billboard.com/charts/hot-100/2013-01-05,"Hold on, to me as we goAs we roll down this unfamiliar roadAnd although this wave (Wave) is stringing us alongJust know you're not alone'Cause I'm gonna make this place your homeSettle down, it'll all be clearDon't pay no mind to the demonsThey fill you with fearThe trouble, it might drag you downIf you get lost, you can always be foundJust know you're not alone'Cause I'm gonna make this place your homeOoh-ooh, ooh-ooh, ooh-ooh-ooh-oohOoh-ooh, ooh-ooh-ooh, oohAhh-ahh, ahh, ahh-ahh-ahhAhh-ahh, ahh-ahh, ahhOoh-ooh, ooh-ooh, ooh-ooh-ooh-oohOoh-ooh, ooh-ooh-ooh, oohSettle down, it'll all be clearDon't pay no mind to the demonsThey fill you with fearThe trouble it might drag you downIf you get lost, you can always be foundJust know you're not alone'Cause I'm gonna make this place your homeAhh-ahh, ahh, ahh-ahh-ahhAhh-ahh, ahh-ahh, ahhOoh-ooh, ooh-ooh, ooh-ooh-ooh-oohOoh-ooh, ooh-ooh-ooh, oohOoh-ooh, ooh-ooh, ooh-ooh-ooh-oohOoh-ooh, ooh-ooh-ooh, oohOoh-ooh, ooh-ooh-ooh, ooh",https://www.genius.com/Phillip-Phillips-Home-lyrics
9,10,2013-01-05,Thrift Shop,Macklemore,"['Ryan Lewis', 'Wanz']",10,12,https://www.billboard.com/charts/hot-100/2013-01-05,"Burning papers into ashes, what a seasonHow they fly high from the ground upThere is yet another fountainFlowing over as the night fallsKeep dreaming awakeIf you hold on to that boxDon't you lock yourself insideNothing has been done beforeIt’s the most virgin dress you could possibly wearMess it upTime is upHold your memory for a moment with a blind handWrite some stories for tomorrowFrom the bottle of amnesiaFind instructions to salvationTo oblivion supremeDon’t be tempted to look backIt has all happened beforeSomeday miraculous spreadWill forgive every cowardly thing that you've doneThat I've doneDust it off(That you've done)(That we've done)",https://www.genius.com/Macklemore-Thrift-Shop-lyrics
