,rank,date,title,artist1,artist2,peak_pos,wks_chart,b_url,lyrics,g_url
214,31,2015-01-17,Black Widow,Iggy Azalea,['Rita Ora'],3,27,https://www.billboard.com/charts/hot-100/2015-01-17,"I'm gonna love ya until you hate meAnd I'm gonna show ya what's really crazyYou should've known better than to mess with me harderI'm gonna love ya, I'm gonna love ya, gonna love ya, gonna love yaLike a black widow, babyThis twisted cat and mouse game always starts the sameFirst we're both down to play, then somehow you go astrayWe went from nothing to something, liking to lovingIt was us against the world, and now we just fucking?It's like I loved you so much, and now I just hate youFeeling stupid for all the time that I gave youI wanted all or nothing for us, ain't no place in betweenMight, might be me believing what you say that you'll never meanLike it'll last forever, but now forever ain't as longIf it wasn't for you, I wouldn't be stuck singing this songYou were different from my last, but now you got 'em mirroredAnd as it all plays out, I see it couldn't be clearerNow singYou used to be thirsty for meBut now you wanna be set freeThis is the web, web that you weaveSo baby now rest in peace (It's all over with now)I'm gonna love ya until you hate me (Right)And I'm gonna show ya (Show 'em what, show 'em what?)What's really crazyYou should've known better than to mess with me harder (It's all over with now)I'm gonna love ya, I'm gonna love ya, gonna love ya, gonna love yaLike a black widow, baby(Black, black widow, baby)I'm gonna l-l-l-love you until it hurtsJust to get you, I'm doing whatever worksYou ain't never met nobody that will do ya how I do yaThat'll bring you to your knees, praise Jesus, hallelujahI'ma make you beg for it, plead for it'Til you feel like you breathe for it'Til you'll do any and everything for itI want you to fiend for it, wake up and dream for it'Til it's got you gasping for air and you lean forward'Til they have a CAT scan to check on your mindAnd it's nothing but me, on it (On it, on it)Now it's me time, believe thatIf it's yours and you want it, I want it, promise I need that'Til I'm everywhere that you be at, I can't fall back or quit'Cause this here is fatal attraction, so I take it all or I don't want shhh You used to be thirsty for me (Right)But now you wanna be set freeThis is the web, web that you weaveSo baby now rest in peace (It's all over with now)I'm gonna love ya until you hate me (Right)And I'm gonna show ya (Show 'em what, show 'em what?)What's really crazyYou should've known better than to mess with me harderI'm gonna love ya, I'm gonna love ya, gonna love ya, gonna love yaLike a black widow, babyBlack, black, black, black widow, baby",https://www.genius.com/Iggy-Azalea-Black-Widow-lyrics
215,32,2015-01-17,Blame,Calvin Harris,['John Newman'],19,17,https://www.billboard.com/charts/hot-100/2015-01-17,"Can't be sleepingKeep on wakingWithout the woman next to meGuilt is burningInside, I'm hurtingThis ain't a feeling I can keepSo blame it on the nightDon't blame it on me, don't blame it on meBlame it on the nightDon't blame it on me, don't blame it on meBlame it on the nightDon't blame it on me, don't blame it on meSo blame it on the nightDon't blame it on me, don't blame it on meDon't blame it on meCan't you see it?I was manipulatedI had to let her through the doorI had no choice in thisI was the friend she missedShe needed me to talkSo blame it on the nightDon't blame it on me, don't blame it on meBlame it on the nightDon't blame it on me, don't blame it on meBlame it on the nightDon't blame it on me, don't blame it on meSo blame it on the nightDon't blame it on me, don't blame it on meDon't blame it on meOh, I'm so sorry, so sorry, baby, yeah(Oh, I promise I'll be better this time, I will be better this time)I will be better this time(Oh, I promise I'll be better this time, I will be better this time)Ooh, I got to say(Oh, I promise I'll be better this time, I will be better this time)I'm so sorry, oh, I promise(Oh, I promise I'll be better this time, I will be better this time) Don't blame it on meDon't blame it on me",https://www.genius.com/Calvin-Harris-Blame-lyrics
216,33,2015-01-17,Time Of Our Lives,Pitbull,['Ne-Yo'],33,4,https://www.billboard.com/charts/hot-100/2015-01-17,"I knew my rent was gon' be late about a week agoI worked my ass off, but I still can't pay it thoughBut I got just enoughTo get off in this clubHave me a good time, before my time is upHey, let's get it nowOooh! I want the time of my lifeOh baby, ooh...Give me the time of my lifeEh, eh, ehLet's get it nowMr. WorldwideNe-YoThis the last twenty dollars I gotBut I'ma have a good time ballin' tonightTell the bartender, line up some shots'Cause I'ma get loose tonightShe's on fire, she's so hotI'm no liar, she burned up the spotLook like Mariah, I took another shotTold her drop, drop, drop, drop it like it's hotDirty talk, dirty danceShe a freaky girl and I'm a freaky manShe on the rebound, broke up with her exAnd I'm like Rodman, ready on deckI told her, ""Wanna ride out?"", and she said, ""Yes""We didn't go to church, but I got blessedI knew my rent was gon' be late about a week agoI worked my ass off, but I still can't pay it thoughBut I got just enoughTo get off in this clubHave me a good time, before my time is upHey, let's get it nowOooh!  I want the time of my lifeOh baby ooh give me the time of my lifeEh, eh, ehLet's get it nowTonight I'mma lose my mindBetter get yours cause I'm gonna get mineParty every night, like my lastMami know the drill, shake that assGo ahead baby let me see what you gotYou know you got the biggest booty in this spotAnd I just wanna see that thing dropFrom the back to the front to the topYou know me I'm off in the cutAlways like a squirrel, looking for a nutThis isn't for show I'm not talking 'bout luckI'm not talking 'bout love, I'm talking 'bout lustNow let's get loose, have some funForget about bills and the first of the monthIt's my night, your night, our night, let's turn it up I knew my rent was gon' be late about a week agoI worked my ass off, but I still can't pay it thoughBut I got just enoughTo get off in this clubHave me a good time, before my time is upHey, let's get it nowOooh!  I want the time of my lifeOh baby ooh give me the time of my lifeEh, eh, ehLet's get it nowEverybody goin' through something(Everybody goin' through something)I said, everybody goin' through something(Everybody goin' through something)So you might as well you roll it upPour it up, drink it up, throw it up tonightI said, everybody goin' through something(Everybody goin' through something)Said, everybody goin' through something(Everybody goin' through something)So you might as well you roll it upPour it up, drink it up, throw it up tonight, yeah... This for everybody going through tough timesBelieve me, been there, done thatBut every day above ground is a great day, remember that—Dale!I knew my rent was gon' be late about a week agoI worked my ass off, but I still can't pay it thoughBut I got just enoughTo get off in this clubHave me a good time, before my time is upHey, let's get it nowOooh!  I want the time of my lifeOh baby ooh give me the time of my lifeLet's get it now",https://www.genius.com/Pitbull-Time-Of-Our-Lives-lyrics
217,34,2015-01-17,Night Changes,One Direction,,31,7,https://www.billboard.com/charts/hot-100/2015-01-17,"Goin' out tonight, changes into something redHer mother doesn't like that kind of dressEverything she never had, she's showing offDriving too fast, moon is breaking through her hairShe's heading for something that she won't forgetHaving no regrets is all that she really wants(Ooh) We're only getting older, baby(Ooh) And I've been thinking about it lately(Ooh) Does it ever drive you crazy(Ah-ah-ah) Just how fast the night changes?(Ooh) Everything that you've ever dreamed of(Ooh) Disappearing when you wake up(Ooh) But there's nothing to be afraid of(Ah-ah-ah) Even when the night changes(Ooh) It will never change me and youChasing her tonight, doubts are running 'round her headHe's waiting, hides behind a cigaretteHeart is beating loud and she doesn't want it to stopMoving too fast, moon is lightin' up her skinShe's falling, doesn't even know it yetHaving no regrets is all that she really wants(Ooh) We're only getting older, baby(Ooh) And I've been thinking about it lately(Ooh) Does it ever drive you crazy(Ah-ah-ah) Just how fast the night changes?(Ooh) Everything that you've ever dreamed of(Ooh) Disappearing when you wake up(Ooh) But there's nothing to be afraid of(Ah-ah-ah) Even when the night changes(Ooh) It will never change me and youOoh, ooh, oohOoh, ooh, ooh, ooh, oohOoh, ooh, ooh, ooh, ooh, oohGoin' out tonight, changes into something redHer mother doesn't like that kind of dressReminds her of the missing piece of innocence she lost (Ooh) We're only getting older, baby(Ooh) And I've been thinking about it lately(Ooh) Does it ever drive you crazy(Ah-ah-ah) Just how fast the night changes?(Ooh) Everything that you've ever dreamed of(Ooh) Disappearing when you wake up(Ooh) But there's nothing to be afraid of(Ah-ah-ah) Even when the night changes(Ooh) It will never change, baby(Ooh) It will never change, baby(Ooh) It will never change me and you",https://www.genius.com/One-Direction-Night-Changes-lyrics
218,35,2015-01-17,Only One,Kanye West,['Paul McCartney'],35,1,https://www.billboard.com/charts/hot-100/2015-01-17,"As I lay me down to sleepI hear her speak to meHello 'Mari, how ya doin'?I think the storm ran out of rain, the clouds are movin'I know you're happy, ‘cause I can see itSo tell the voice inside ya head to believe itI talked to God about you, he said he sent you an angelAnd look at all that he gave youYou asked for one and you got twoYou know I never left you‘Cause every road that leads to Heaven's right inside youSo I can sayHello, my only one, just like the mornin' sunYou'll keep on risin' 'til the sky knows your nameHello my only one, remember who you areNo you're not perfect but you're not your mistakesHey, hey, hey, heyOh, the good outweighs the bad even on your worst dayRemember how I'd sayHey hey one day, you'll be the man you always knew you could beAnd if you knew how proud I wasYou'd never shed a tear, have a fear, no you wouldn't do thatAnd though I didn't pick the day to turn the pageI know it's not the end every time I see her face, and I hear you sayHello my only one, remember who you areYou got the world ‘cause you got love in your handsAnd you're still my chosen oneSo can you understand? One day you'll understandSo hear me out, hear me outI won't go, I won't goNo goodbyes, no goodbyesJust hello, just helloAnd when you cry, I will cryAnd when you smile, I will smileAnd next time when I look in your eyesWe'll have wings and we'll fly Hello my only one, just like the mornin' sunYou'll keep on risin' 'til the sky knows your nameAnd you're still my chosen one, remember who you areNo you're not perfect but you're not your mistakesHey, hey, hey, heyTell Nori about me, tell Nori ab-I just want you to do me a favorTell Nori about me, tell Nori about meTell Nori about me, tell Nori about meTell Nori about me, tell Nori about meTell Nori about me, tell Nori about meTell Nori about me...",https://www.genius.com/Kanye-West-Only-One-lyrics
219,36,2015-01-17,Riptide,Vance Joy,,32,28,https://www.billboard.com/charts/hot-100/2015-01-17,"I was scared of dentists and the darkI was scared of pretty girls and starting conversationsOh, all my friends are turning greenYou're the magician's assistant in their dreamOh, oh-o-oh, and they come unstuckLady, running down to the riptideTaken away to the dark sideI wanna be your left hand manI love you, when you're singing that song andI got a lump in my throat 'causeYou're gonna sing the words wrongThere's this movie that I think you'll likeThis guy decides to quit his job and heads to New York CityThis cowboy's running from himselfAnd she's been living on the highest shelfOh, oh-o-oh, and they come unstuckLady, running down to the riptideTaken away to the dark sideI wanna be your left hand manI love you when you're singing that song andI got a lump in my throat 'causeYou're gonna sing the words wrongI just wanna, I just wanna knowIf you're gonna, if you're gonna stayI just gotta, I just gotta knowI can't have it, I can't have it, any other wayI swear she's destined for the screenClosest thing to Michelle Pfeiffer that you've ever seen, ohLady, running down to the riptideTaken away to the dark sideI wanna be your left hand manI love you, when you're singing that song andI got a lump in my throat 'causeYou're gonna sing the words wrong Oh lady, running down to the riptideTaken away to the dark sideI wanna be your left hand manI love you when you're singing that song andI got a lump in my throat 'causeYou're gonna sing the words wrongOh lady, running down to the riptideTaken away to the dark sideI wanna be your left hand manI love you when you're singing that song andI got a lump in my throat 'causeYou're gonna sing the words wrong, yeahI got a lump in my throat 'causeYou're gonna sing the words wrong",https://www.genius.com/Vance-Joy-Riptide-lyrics
220,37,2015-01-17,Chandelier,Sia,,8,35,https://www.billboard.com/charts/hot-100/2015-01-17,"Party girls don't get hurtCan't feel anything, when will I learn?I push it down, push it downI'm the one ""for a good time call""Phone's blowin' up, ringin' my doorbellI feel the love, feel the loveOne, two, three, one, two, three, drinkOne, two, three, one, two, three, drinkOne, two, three, one, two, three, drinkThrow 'em back till I lose countI'm gonna swing from the chandelierFrom the chandelierI'm gonna live like tomorrow doesn't existLike it doesn't existI'm gonna fly like a bird through the nightFeel my tears as they dryI'm gonna swing from the chandelierFrom the chandelierBut I'm holding on for dear lifeWon't look down, won't open my eyesKeep my glass full until morning light'Cause I'm just holding on for tonightHelp me, I'm holding on for dear lifeWon't look down, won't open my eyesKeep my glass full until morning light'Cause I'm just holding on for tonightOn for tonightSun is up, I'm a messGotta get out now, gotta run from thisHere comes the shame, here comes the shameOne, two, three, one, two, three, drinkOne, two, three, one, two, three, drinkOne, two, three, one, two, three, drinkThrow 'em back till I lose countI'm gonna swing from the chandelierFrom the chandelierI'm gonna live like tomorrow doesn't existLike it doesn't existI'm gonna fly like a bird through the nightFeel my tears as they dryI'm gonna swing from the chandelierFrom the chandelier But I'm holding on for dear lifeWon't look down, won't open my eyesKeep my glass full until morning light'Cause I'm just holding on for tonightHelp me, I'm holding on for dear lifeWon't look down, won't open my eyesKeep my glass full until morning light'Cause I'm just holding on for tonightOn for tonightOn for tonight'Cause I'm just holding on for tonightOh, I'm just holding on for tonightOn for tonight, on for tonight'Cause I'm just holding on for tonight'Cause I'm just holding on for tonightOh, I'm just holding on for tonightOn for tonight, on for tonight",https://www.genius.com/Sia-Chandelier-lyrics
221,38,2015-01-17,L.A.LOVE (la la),Fergie,,27,13,https://www.billboard.com/charts/hot-100/2015-01-17,"(La la la la la)(La la la la la)(La la la la la)(La la la la la)Mustard on the beat, ho!Uh, tell 'em where I'm fromFinger on the pump, make the 6 straight jump from SoCalHollywood to the slumsChronic smoke get burnt by the California sunOn the west side, east coast where you at?Just got to New York like a net on a jetTo London, to Brazil, to QuebecLike the whole damn world took effect to FergTell 'emLaid back, slow downBetter represent when we come to your townSo lay back, slow downWhatchu represent when we come to your townSay, get in with the businessI'mma be there in a minuteI just booked a Paris ticketThinking Russia need a visitI'mma run it to the limitAnd be on my way to VeniceL.A. got the people saying (la la la la la)Brooklyn saying (la la la la la)Hacienda saying (la la la la la)Vegas saying (la la la la la)Rio saying (la la la la la)Tokyo saying (la la la la la)Down under saying (la la la la la)Miami saying (la la la la la)JamaicaEvery city, every state, every country you knowAll around the globeEvery city, every state, every country you knowThis is how it goes Uh, tell 'em where I'm atFrom the plaques to the (uh uh)Everything phatGot Mustard on a trackMy girls all stackWhen I roll down the window, let me know where you'reAtlanta, north south Cac-ill-acTexas grill, Cadillacs through Miami then backTo London, Jamaica, then FranceThe whole damn world took effect to FergTell 'emLaid back, slow downBetter represent when we come to your townSo lay back, slow downWhatchu represent when we come to your townSay, get in with the businessWhen I come from Kansas CityHit Manila till it's ChristmasOut to India I'll visitPuerto Rico, it's exquisiteBring my people back to VeniceL.A. got the people saying (la la la la la)Moscow saying (la la la la la)España (la la la la la)Kingston saying (la la la la la)San Diego saying (la la la la la)Chi town saying (la la la la la)Germany saying (la la la la la)La Puente saying (la la la la la)Ibiza Every city, every state, every country you knowAll around the globeEvery city, every state, every country you knowThis is how it goesEvery city, every state, every country you knowAll around the globeEvery city, every state, every country you knowThis is how it goesL.A. got the people saying (la la la la la)Amsterdam saying (la la la la la)Frisco saying (la la la la la)Switzerland saying (la la la la la)Sao Paulo saying (la la la la la)Jo'burg saying (la la la la la)Mexico saying (la la la la la)Stockholm saying (la la la la la)Jamaica(La la la la la)You on that Cali shitPuff it, feel whateverYou like to like itWe legalizing itYes you can join us nowWe like to love itWe like to love itWe like to love it",https://www.genius.com/Fergie-LALOVE-la-la-lyrics
222,39,2015-01-17,Heroes (We Could Be),Alesso,['Tove Lo'],35,14,https://www.billboard.com/charts/hot-100/2015-01-17,"We could hide away in daylightWe go undercover, wait out the SunGot a secret side in plain sightWhere the streets are empty, that’s where we runEveryday people do everyday things but ICan't be one of themI know you hear me now, we are a different kindWe can do anythingWe could be heroesWe could be heroes, me and youWe could be heroesWe could be heroes, me and youWe could beAnybody’s got the powerThey don't see it ‘cause they don't understandSpin around and round for hoursYou and me, we got the World in our handsEveryday people do everyday things but ICan't be one of themI know you hear me now, we are a different kindWe can do anythingWe could be heroesWe could be heroes, me and youWe could be heroesWe could be heroes, me and youWe could beWe could be heroesWe could be heroesMe and you...We could beAll we're looking for is love and a little lightLove and a little light(We could be)All we're looking for is love and a little lightLove and a little light We could be heroesWe could be heroesMe and you...We could be",https://www.genius.com/Alesso-Heroes-We-Could-Be-lyrics
223,40,2015-01-17,Trumpets,Jason Derulo,,14,32,https://www.billboard.com/charts/hot-100/2015-01-17,"Every time that you get undressedI hear symphonies in my headI wrote this song just looking at you oh, ohYeah, the drums they swing lowAnd the trumpets they goAnd the trumpets they goYeah, the trumpets they goDa-da, da-ra-ra-da, da, daDa, ra, ra, ra, da, daDa-da, da-ra-ra-da, da, da (Oh, woo)Da, ra, ra, ra, da, da (They go)Haha, is it weird that I hearViolins whenever you’re gone? (Whenever you're gone)Yeah, is it weird that your assRemind me of a Kanye West song? (Kanye West song)Haha, yeah, is it weird that I hearTrumpets when you’re turning me on? (Turning me on)Is it weird that your braRemind me of a Katy Perry song?Every time that you get undressedI hear symphonies in my headI wrote this song just looking at you oh, ohYeah, the drums they swing lowAnd the trumpets they go (and they're playing for you, baby)And the trumpets they go, haha, yeahYeah, the trumpets they goDa-da, da-ra-ra-da, da, daDa, ra, ra, ra, da, daYeah, the trumpets they goDa-da, da-ra-ra-da, da, da (Go, go go, go go)Da, ra, ra, ra, da, da (Go, go go, go go, they go)Damn, is it weird that I hearAngels every time that you moan? (Time that you moan)Uh, oh, yeah, is it weird that your eyesRemind me of a Coldplay song? (A Coldplay song)Is it weird that I hearTrumpets when you’re turning me on?Is it weird that your bra (that your bra)Remind me of a Katy Perry song?Every time that you get undressedI hear symphonies in my headI wrote this song looking at you, oh, oh (Oh, yeah)Every time that you get undressed (Every time, every time that you get undressed)I hear symphonies in my head (Haha, I hear symphonies in my head)I wrote this song just looking at you, oh, oh (Haha, I wrote this song, just looking at you, girl)Uh, yeah, the drums they swing lowAnd the trumpets they go(2959868)They go ",https://www.genius.com/Jason-Derulo-Trumpets-lyrics
224,41,2015-01-17,Ghost,Ella Henderson,,41,10,https://www.billboard.com/charts/hot-100/2015-01-17,"I keep going to the river to pray'Cause I need something that can wash out the painAnd at most, I'm sleeping all these demons awayBut your ghost, the ghost of youIt keeps me awakeMy friends had you figured outYeah they saw what's inside of youYou tried hiding another youBut your evil was coming throughThese eyes sitting on the wallThey watch every move I makeBright light living in the shadeYour cold heart makes my spirit shakeI had to go through hell to prove I'm not insaneHad to meet the devil just to know his nameAnd that's when my love was burningYeah it's still burningI keep going to the river to pray'Cause I need something that can wash out the painAnd at most, I'm sleeping all these demons awayBut your ghost, the ghost of youIt keeps me awakeI keep going to the river to pray'Cause I need something that can wash out the painAnd at most, I'm sleeping all these demons awayBut your ghost, the ghost of youIt keeps me awakeEach time that I think you goI turn around and you're creeping inAnd I let you under my skin'Cause I love living innocentOh, you never told meTrue love was gonna hurtTrue pain I don't deserveTruth is that I never learned I keep going to the river to pray'Cause I need something that can wash out the painAnd at most, I'm sleeping all these demons awayBut your ghost, the ghost of youIt keeps me awakeI keep going to the river to pray'Cause I need something that can wash out the painAnd at most, I'm sleeping all these demons awayBut your ghost, the ghost of youIt keeps me awakeGive up the ghost, give up the ghostGive up the ghost, stop the haunting babyGive up the ghost, give up the ghostGive up the ghost, no more haunting babyI keep going to the river...I keep going to the river to pray'Cause I need something that can wash out the painAnd at most, I'm sleeping all these demons awayBut your ghost, the ghost of youIt keeps me awakeI keep going to the river to pray'Cause I need something that can wash out the painAnd at most, I'm sleeping all these demons awayBut your ghost, the ghost of youIt keeps me awake",https://www.genius.com/Ella-Henderson-Ghost-lyrics
225,42,2015-01-17,Something In The Water,Carrie Underwood,,24,14,https://www.billboard.com/charts/hot-100/2015-01-17,"He said, ""I've been where you've been beforeDown every hallway's a slamming door""No way out, no one to come and save meWasting a life that the Good Lord gave meThen somebody said what I'm saying to youOpened my eyes and told me the truthThey said, ""Just a little faith, it'll all get better""So I followed that preacher man down to the river and now I'mChangedAnd now I'm strongerThere must've been something in the waterOh, there must've been something in the waterAnd well, I heard what he said and I went on my wayDidn't think about it for a couple of daysThen it hit me like a lightning late one nightI was all out of hope and all out of fightCouldn't fight back the tears, so I fell on my kneesSaying, ""God, if you're there, come and rescue me.""Felt love pouring down from aboveGot washed in the water, washed in the blood and now I'mChangedAnd now I'm strongerThere must be something in the waterOh, there must be something in the waterAnd now I'm singing along to Amazing GraceCan't nobody wipe this smile off my faceGot joy in my heart, angels on my sideThank God almighty, I saw the lightGonna look ahead, no turning backLive every day, give it all that I haveTrust in someone bigger than meEver since the day that I believed I am changedAnd now I'm stronger There must be something in the water (Amazing grace)Oh, there must be something in the water (How sweet the sound)Oh, there must be something in the water (That saved a wretch)Oh, there must be something in the water (Like me)Oh, yeah(I once was lost)I am changedStronger(But now I'm found)Was blind, but now, I see",https://www.genius.com/Carrie-Underwood-Something-In-The-Water-lyrics
226,43,2015-01-17,Shotgun Rider,Tim McGraw,,38,14,https://www.billboard.com/charts/hot-100/2015-01-17,"Roll, won't you come roll with meSlow, fast, full speedGirl where ever sweet time takes usHang, with me down this old roadOnly God knows where we'll goDon't matter long as I've got your loveI don't ever wanna wake upLooking into someone else's eyesWith another voice calling me ""baby""On the other end of the phoneA new girl puttin' on her make upFor a dinner on a Friday nightI don't ever wanna know, no, no, noNo other shotgun rider beside meSingin' to the radio, ooo, ooSlide, slide over nice and closeLay your head down on my shoulderYou can fall asleep, I'll let youDream, life ain't nothing but a dreamDon't wanna be, cruisin' through this dream without youI don't ever wanna wake upLooking into someone else's eyesAnother voice calling me ""baby""On the other end of the phoneA new girl puttin' on her make upFor a dinner on a Friday nightNo I don't ever wanna know, no, no, noNo other shotgun rider beside meSingin' to the radio, ooo, oo",https://www.genius.com/Tim-McGraw-Shotgun-Rider-lyrics
227,44,2015-01-17,Rather Be,Clean Bandit,['Jess Glynne'],10,30,https://www.billboard.com/charts/hot-100/2015-01-17,"Ooh, oh-ohWe're a thousand miles from comfortWe have travelled land and seaBut as long as you are with meThere's no place I'd rather beI would wait foreverExalted in the sceneAs long as I am with youMy heart continues to beatWith every step we take, Kyoto to The BayStrollin' so casuallyWe're different and the same, gave you another nameSwitch up the batteriesIf you gave me a chance, I would take itIt's a shot in the dark, but I'll make itKnow with all of your heart, you can't shame meWhen I am with you, there's no place I'd rather beN-n-no, no, no, no place I'd rather beN-n-no, no, no, no place I'd rather beN-n-no, no, no, no place I'd rather be (Oh)We staked out on a missionTo find our inner peaceMake it everlastingSo nothing's incompleteIt's easy being with youSacred simplicityAs long as we're togetherThere's no place I'd rather beWith every step we take, Kyoto to The BayStrollin' so casuallyWe're different and the same, gave you another nameSwitch up the batteries If you gave me a chance, I would take itIt's a shot in the dark, but I'll make itKnow with all of your heart, you can't shame meWhen I am with you, there's no place I'd rather beN-n-no, no, no, no place I'd rather beN-n-no, no, no, no place I'd rather beN-n-no, no, no, no place I'd rather beWhen I am with you, there's no place I'd rather be, yeahBe (Oh)Be, be, be, be, be, be, be, be, beYeah, yeah, yeah, yeah, yeah, yeah, yeahIf you gave me a chance, I would take itIt's a shot in the dark, but I'll make itKnow with all of your heart, you can't shame meWhen I am with you, there's no place I'd rather beN-n-no, no, no, no place I'd rather beN-n-no, no, no, no place I'd rather beN-n-no, no, no, no place I'd rather beWhen I am with you, there's no place I'd rather be, yeah",https://www.genius.com/Clean-Bandit-Rather-Be-lyrics
228,45,2015-01-17,Stolen Dance,Milky Chance,,39,24,https://www.billboard.com/charts/hot-100/2015-01-17,"I want you by my sideSo that I never feel alone againThey've always been so kindBut now they've brought you away from meI hope they didn't get your mindYour heart is too strong anywayWe need to fetch back the timeThey have stolen from usAnd I want youWe can bring it on the floorYou've never danced like this beforeWe don't talk about itDancing on, do the boogie all night longYou're stoned in paradiseShouldn't talk about itAnd I want youWe can bring it on the floorYou've never danced like this beforeWe don't talk about itDancing on, do the boogie all night longYou're stoned in paradiseShouldn't talk about itShouldn't talk about itColdest winter for meNo sun is shining anymoreThe only thing I feel is painCaused by absence of youSuspense controlled in my mindI cannot find the way outta hereI want you by my sideSo that I never feel alone againAnd I want youWe can bring it on the floorYou've never danced like this beforeWe don't talk about itDancing on, do the boogie all night longYou're stoned in paradiseShouldn't talk about itAnd I want youWe can bring it on the floorYou've never danced like this beforeWe don't talk about itDancing on, do the boogie all night longYou're stoned in paradiseShouldn't talk about itShouldn't talk about it And I want youWe can bring it on the floorYou've never danced like this beforeWe don't talk about itDancing on, do the boogie all night longYou're stoned in paradiseShouldn't talk about itAnd I want youWe can bring it on the floorYou've never danced like this beforeWe don't talk about itDancing on, do the boogie all night longYou're stoned in paradiseShouldn't talk about itShouldn't talk about it",https://www.genius.com/Milky-Chance-Stolen-Dance-lyrics
229,46,2015-01-17,Sledgehammer,Fifth Harmony,,40,6,https://www.billboard.com/charts/hot-100/2015-01-17,"If you could take my pulse right nowIt would feel just like a sledgehammerIf you could feel my heart beat nowIt would hit you like a sledgehammerI don't admit it, I play it coolBut every minute that I'm with youI feel the fever and I won't lie, I break a sweatMy body's telling all the secrets I ain't told you yetOh oh, I struggle to containWoah oh, the love that's in my veinsOh oh, and how it circulatesOh ohIf you could take my pulse right nowIt would feel just like a sledgehammerIf you could feel my heart beat nowIt would hit you like a sledgehammerYou're taken over the beat of my body, you just don't let up, don't let upYou're taken over the beat of my body but you lift me up, lift me upIf you take my pulse right nowIt would feel just like a sledgehammerSo close together, so far apartYou're turning me on and my fire's waiting for your sparkOh oh, I struggle to containWoah oh, the love that's in my veinsOh oh, and how it circulatesOh ohIf you could take my pulse right nowIt would feel just like a sledgehammerIf you could feel my heart beat nowIt would hit you like a sledgehammerYou're taken over the beat of my body, you just don't let up, don't let upYou're taken over the beat of my body but you lift me up, lift me upIf you take my pulse right nowIt would feel just like a sledgehammer The truth is out, no stopping now, I'm getting closerI've had enough, undress my love, I'm coming overIf you could take my pulse right nowIt would feel just like a sledgehammer, ohAnd if you could take my pulse right nowIt would feel just like a sledgehammer, hammer, ohIf you take my pulseIf you could take my pulse right nowIt would feel just like a sledgehammer (Oh!)If you could feel my heart beat nowIt would hit you like a sledgehammerYou're taken over the beat of my body, you just don't let up, don't let upYou're taken over the beat of my body but you lift me up, lift me upIf you take my pulse right nowIt would feel just like a sledgehammer",https://www.genius.com/Fifth-Harmony-Sledgehammer-lyrics
230,47,2015-01-17,Try Me,DeJ Loaf,,45,11,https://www.billboard.com/charts/hot-100/2015-01-17,"Let a nigga try me, try meI'm a get his whole motherfuckin' familyAnd I ain't playin with nobodyFuck around and I'ma catch a bodyLet a nigga try me, try meI'm a get his whole motherfuckin' familyAnd I ain't playin with nobodyFuck around and I'ma catch a bodyBitch I got the mac or the 40Turn a bitch to some macaroniTell me how you want it I'm on itI really mean it I'm just not recordin'Give lil bro the choppa for all you oppasLeave a bitch nigga head in pastaYou are an impostor, ain't got no moneyPut the burner to his tummy, and make it bubblyI really hate niggas I'm a NaziLove wearin' all black, you should see my closetRock that all white, when I'm feelin' GodlyHop out like Coke, I ain't gotta park itFuck is y'all saying, bitch my hood love me48214 real niggas know meI been out my mind since they killed my cousinFree my cousin Devin, man he just called meAll these niggas love me, can't get 'em off meFuck around gave him my number, he won't stop callin'IBGM be the clique, bitch, you see us scorin'V.I.P in the plural, while yo section borin'Got a bitch that set it off like Jada Pinkett, Queen LatifahYou rollin' around wit yo nieces, bitch you T.TMind full of money, got a heart full of demonsMobbin' like Italians, we really take yo fingasTurn yo face into a pizza, no acneHave you singin' like Alicia, fuck wit my familyThey be like you little, but got damn she spazzin'Do the whole crew, my bitches freak nastyLet a nigga try me, try meI'm a get his whole motherfuckin' familyAnd I ain't playin with nobodyFuck around and I'ma catch a bodyLet a nigga try me, try meI'm a get his whole motherfuckin' familyAnd I ain't playin with nobodyFuck around and I'ma catch a bodyBitch I got the Tommy no HilfigerLil Dej ain't bout it, bitch how you figureI don't do no drugs, I be off liquorSo lifted, flyer than yo girl, baby gone and take my pictureSee I gotta get this money, my palms itchin'Niggas gossip like hoes, most of 'em bitchesI don't wanna do no songs, I don't wanna kick itAnd I ain't signin' to no label, bitch I'm independentLet a nigga try me, try meI'm a get his whole motherfuckin' familyAnd I ain't playin with nobodyFuck around and I'ma catch a body",https://www.genius.com/DeJ-Loaf-Try-Me-lyrics
