,level_0,index,rank,date,title,artist1,artist2,peak_pos,wks_chart,b_url,lyrics,g_url
47,47,54,55,2000-01-01,Angels,Robbie Williams,,55,7,https://www.billboard.com/charts/hot-100/2000-01-01,I sit and waitDoes an angel contemplate my fate?And do they know the places where we goWhen we're grey and old?'Cause I've been toldThat salvation lets their wings unfoldSo when I'm lying in my bedThoughts running through my headAnd I feel that love is deadI'm lovin' angels insteadAnd through it allShe offers me protectionA lot of love and affectionWhether I'm right or wrongAnd down the waterfallWherever it may take meI know that life won't break meWhen I come to callShe won't forsake meI'm lovin' angels insteadWhen I'm feeling weakAnd my pain walks down a one-way streetI look aboveAnd I know I'll always be blessed with loveAnd as the feeling growsShe breathes flesh to my bonesAnd when love is deadI'm lovin' angels insteadAnd through it allShe offers me protectionA lot of love and affectionWhether I'm right or wrongAnd down the waterfallWherever it may take meI know that life won't break meWhen I come to callShe won't forsake meI'm lovin' angels insteadAnd through it allShe offers me protectionA lot of love and affectionWhether I'm right or wrongAnd down the waterfallWherever it may take meI know that life won't break meWhen I come to callShe won't forsake meI'm lovin' angels instead,https://www.genius.com/Robbie-Williams-Angels-lyrics
48,48,56,57,2000-01-01,Pop A Top,Alan Jackson,,55,8,https://www.billboard.com/charts/hot-100/2000-01-01,"Pop a top, againI've just got time for one more roundSet em' up my friendThen I'll be goneAnd you can letSome other fool sit downI'd like for you to listen toA joke I heard todayFrom a woman whoSaid she was through and calmly walked awayI tried to smile, and did a whileBut it felt so outta placeDid you ever hear of a clown with teardropsStreamin' down his face?Pop a top, againI think I'll have another roundSet em' up my friendThen I'll be goneAnd you can letSome other fool sit downHome for me, is miseryAnd here I'm wastin' timeCause a row of fools on a row of stoolsIs not what's on my mindBut then you see her leaving meIt's not what I preferSo, it's either here just drinkin' beerOr home remembering herPop a top, againI think I'll have another roundSet em' up my friendThen I'll be goneAnd you can letSome other fool sit down Pop a top, again",https://www.genius.com/Alan-Jackson-Pop-A-Top-lyrics
49,49,57,58,2000-01-01,Caught Out There,Kelis,,58,5,https://www.billboard.com/charts/hot-100/2000-01-01,"Yo, this song, yoThis song is for all the women out thereThat have been lied to by their menAnd I know y'all been lied to over and over againThis is for y'all, yo, maybe you didn't breakThe way you should've broke, yoBut I break, you know I'm sayin'?So this is how it goes yoPsst... damnYoLast year, Valentine's Day, you would just warmly say""Babe I love you, love you, babe I swear"" (Yo, he's lying)Held you when you were sick, even...The whole time I'd think to myself, this isn't fairWhat is this I see? You don't come home to me (No! Oh no!)When you don't come home to me, can't deal, can't bear (Man)You keep tellin' me lies, but to your surpriseLook, I found her red coat and you're (Bitch!) caught out thereI hate you so much right now! I hate you so much right now!Aaaaaaaaaaaah! I hate you so much right now!I hate you so much right now! I hate you so much right now!Aaaaaaaaaaaah! I hate you so much right now!So sick of your games, I'll set your truck to flamesAnd watch it blow up, blow up - tell me, how you gonna see her now?So far from sincere, fabrications in my ear (I love you)Drive me so far up the wall, I come slidin' downWhat is this I see? You don't come home to me (I don't believe this!)When you don't come home to me, I can't deal, can't bear (I won't)You keep tellin' me lies, but to your surpriseLook, I hope you're happy since you're caught out thereYeah, you've been caughtYo, come onCome on I hate you so much right now! I hate you so much right now!Aaaaaaaaaaaah! I hate you so much right now!I hate you so much right now! I hate you so much right now!Aaaaaaaaaaaah! I hate you so much right now!She's so raunchy, so vulgar; not me, why the hell her?Look, she dresses a mess, what do you see? (Look at her! I don't know)It's not all about cash, nor how much you flash (Hell no)How I dress is a reflection of meWhat is this I see? You don't come home to me (Uh-uh)When you don't come home to me, can't deal, can't bear (Told you I won't)You keep tellin' me lies, but to your surpriseLook I got something for y'all since you're caught out thereI hate you so much right now! I hate you so much right now!Aaaaaaaaaaaah! I hate you so much right now!I hate you so much right now! I hate you so much right now!Aaaaaaaaaaaah! I hate you so much right now!I hate you so much right now! I hate you so much right now!Aaaaaaaaaaaah! I hate you so much right now!I hate you so much right now! I hate you so much right now!Aaaaaaaaaaaah! I hate you so much right now!",https://www.genius.com/Kelis-Caught-Out-There-lyrics
50,50,58,59,2000-01-01,15 Minutes,Marc Nelson,,27,14,https://www.billboard.com/charts/hot-100/2000-01-01,"Damn, what time is itAll snap, I gotta go to workHold up a minuteAll I got is 15 minutes, and I wanna get up in itAin't got no time to talk, just come and break me offAin't got no time for love, just come and give me someAin't got no time to talk, just come and break me off7:45 on the dot, guess I'm late for work but I'm feeling kind of hotI see you downstairs pouring juiceFlippin my eggs but I wanna flip youBecause your, standing right there in your negligéeThinking should I hit it but damn I'm late (damn I'm late)Maybe a quickie would make my day (oh)It'll make my day, it'll make my day oh ohAll I got is 15 minutes, and I wanna get up in itAin't got no time to talk, just come and break me offAin't got no time for love, just come and give me someAin't got no time to talk, just come and break me offAll I got is 15 minutes, and I wanna get up in itAin't got no time to talk, just come and break me offAin't got no time for love, just come and give me someAin't got no time to talk, just come and break me offI think I wanna hit it again, call my boss and tell him I won't be inI bet he's gonna wanna know why, and I just can't tell him no lieShe laying right here in her negligee (negligee)Right now I don't care just cut my pay (cut my pay)You'd do the same if you were in my place, with that booty up in ya faceAll I got is 15 minutes, and I wanna get up in itAin't got no time to talk, just come and break me offAin't got no time for love, just come and give me someAin't got no time to talk, just come and break me offAll I got is 15 minutes, and I wanna get up in itAin't got no time to talk, just come and break me offAin't got no time for love, just come and give me someAin't got no time to talk, just come and break me off The first two minutes girl were gonna take out timeFreak you down hit you from behindThe next three minutes oh were gonna get on the floorSay my name and make me want some more5, 4, 3, 2, 1 turning on the sideHurry up scream it out, let it go girlAnd when you arrive our time is upSo scream much louderChorus (until fade)",https://www.genius.com/Marc-Nelson-15-Minutes-lyrics
51,51,59,60,2000-01-01,Heartbreaker,Mariah Carey,['Jay-Z'],1,18,https://www.billboard.com/charts/hot-100/2000-01-01,"YeahWe're gonna do it like thisAightLet's goJiggaGimme your loveUhGimme your loveWhat?Gimme your loveMCGimme your loveUh, jiggaGimme your loveGimme your loveGimme your loveGimme your loveHeyGimme your loveGimme your loveYou gotta bounce to this like thisGimme your loveGimme your loveYou almost gotta watch and listenGimme your loveUh-huhGimme your loveWooGimme your loveX-ScapeGimme your loveBoy, your love's so goodI don't wanna let goAnd although I shouldI can't leave you alone'Cause you're so disarmingI'm caught up in the midst of youAnd I cannot resist at allBoy, if I doThe things you want me toUh-huhThe way I used to doWould you love me, babyUh-huhOr leave me feeling used?Would you go and break my heart?Heartbreaker, you got the best of meBut I just keep on coming back incessantlyOh, why did you have to run your game on me?I should have known right from the startYou'd go and break my heart Gimme your loveGimme your loveGimme your loveGimme your loveUh-huhGimme your loveGimme your loveGimme your loveGimme your loveGimme your loveWhat?Gimme your loveGimme your loveGimme your loveShe saidGimme your loveWhat?Gimme your loveShe saidGimme your loveUh-huhGimme your loveGimme your loveIt's a shame to beSo euphoric and weakWhen you smile at meAnd you tell me the thingsThat you knowPersuade me to relinquish my loveTo youBut I cannot resist at all Boy, if I doThe things you wanna doThe way I used to doWould you love me, baby (Love me, oh)Or leaving me feeling used?Would you go and break my heart?(Heartbreaker, you got the best of me)Heartbreaker, you got the best of me (You got the best)But I just keep on coming back incessantly (I keep on, keep on)Oh, why did you have to run your game on me?(Why, why did you have to run your game?)I should have known right from the start(The start that you'd go and break my heart)You'd go and break my heartI'm all over readyOkay, cool, alrightShe wanna shop with JayPlay box with JayShe wanna pillow fight in the middle of the nightShe wanna drive my Benz with five of her friendsShe wanna creep past the block, spying againShe wanna roll with Jay, chase skeeos awayShe wanna fight with lame chicks, blow my dateShe wanna inspect the rest, kick me to the curbIf she find one strand of hair longer than hersShe want love in the jacuzzi, rub up in the moviesAccess to the old crib, keys to the newbieShe wanna answer the phone, tattoo her armThat's when I gotta send her back to her momsShe calls me heartbreakerWhen we apart, it makes her want a piece of paperScribble down ""I hate ya"", but she knows she loves Jay becauseShe loves everything Jay say, Jay does, and all(Oh boy, you got the best of me)Heartbreaker, you got the best of meBut I just keep on coming back incessantly (I keep on coming back)Oh, why did you have to run your game on me(Why did you have to run your game?)I should have known right from the start(Right from the start that you'd)You'd go and break my heart (Go and break my heart)Heartbreaker, you got the best of meBut I just keep on coming back incessantlyOh why, did you have to run your game on me?(I should have known) I should have known right from the start(That you would go and break my heart)You'd go and break my heartHeartbreaker, you got the best of meBut I just keep on coming back incessantlyOh, why did you have to run your game on me?I should have known right from the startYou'd go and break my heart(Boy, if I do) Heartbreaker, you got the best of meBut I just keep on coming back incessantly(The things you want me to)(The way I used to do)Oh, why did you have to (Would you love me, baby?)Run your game on meI should have known right from the start(Or leave me feeling used) Right from the start(Would you go and break?) (My heart)You'd go and break my heartGimme your loveGimme your loveGimme your loveDamn straightGimme your loveThat's a wrap",https://www.genius.com/Mariah-Carey-Heartbreaker-lyrics
52,52,60,61,2000-01-01,Higher,Creed,,52,17,https://www.billboard.com/charts/hot-100/2000-01-01,"When dreaming I'm guided to another worldTime and time againAt sunrise I fight to stay asleep'Cause I don't want to leave the comfort of this place'Cause there's a hunger, a longing to escapeFrom the life I live when I'm awakeSo let's go thereLet's make our escapeCome on, let's go thereLet's ask, ""Can we stay?""Can you take me higher?To a place where blind men seeCan you take me higher?To a place with golden streetsAlthough I would like our world to changeIt helps me to appreciateThose nights and those dreamsBut, my friend, I'd sacrifice all those nightsIf I could make the Earth and my dreams the sameThe only difference isTo let love replace all our hateSo let's go thereLet's make our escapeCome on, let's go thereLet's ask, ""Can we stay?""Can you take me higher?To a place where blind men seeCan you take me higher?To a place with golden streetsSo let's go thereLet's go thereCome on, let's go thereLet's ask, ""Can we stay?"" Up high I feel like I'm alive for the very first timeSet up high I'm strong enough to take these dreams and make them mineSet up high I'm strong enough to take these dreams and make them mineCan you take me higher?To a place where blind men seeCan you take me higher?To a place with golden streetsCan you take me higher?To a place where blind men seeCan you take me higher?To a place with golden streets",https://www.genius.com/Creed-Higher-lyrics
53,53,61,62,2000-01-01,Bling Bling,B.G.,"['Baby', 'Turk', 'Mannie Fresh', 'Juvenile', ""Lil' Wayne""]",36,16,https://www.billboard.com/charts/hot-100/2000-01-01,"Nigga I got these hoes iced up enoughWhile my lil' B.G.'s on the bus puttin' out cigarette buttsBut me, personally, playboy I don't give a fuckAnd I'mma always show love to my cutHit the club, light the bitch upThe Cash Money motto is to drink 'til we throw upNigga point the ho out, guaranteed I can fuckWoadie, I'm tattooed and balled upMedallion iced up, Rolex bezelled upAnd my pinky ring is platinum plusEarrings be trillion cut and my grill be slugged upMy heart filled with anger cause nigga I don't give a fuckStack my cheese up, cause one day I'ma give this street life upBeef I don't discuss, a nigga outta line gon' get his motherfuckin' head bustCash Money Millionaires plusDon't touch sum'in nigga you can't fuckTwenty inches TV is a mustBy the year two thousand I'm gut out my busA lil' nigga seventeen playin' with six figuresGot so much ice you can skate on a niggaWhen you see Cash Money you know we stay flossin'Catch ya girl down bad ya know we straight tossin'I ain't seen a clique yet that can stunt like mineI ain't seen a Maro that can run like mine1999, and it's our turn to shineFifty or better on our wrist and they all blindPourin' vodka 'til I die drank 'til I faint'Til a nigga tell me I need another drankMy nigga Baby told me work nigga trick to them hoesNigga Baby told me work nigga better than treatin' yo noseI'm the freak of the cliqueKeep it on the tuckSo I creep on a bitch and I play it the rawNever sleep with a bitch, keep it real with my niggasNever weep for a bitch, never weep for a bitch niggaBling bling, every time I come around your cityBling bling, pinky ring worth about fiftyBling bling, every time I buy a new rideBling bling, Lorinsers on Yokohama tiresBling bling, every time I come around your cityBling bling, pinky ring worth about fiftyBling bling, every time I buy a new rideBling bling, Lorinsers on Yokahama tires It's the nigga with the Lex bubbleCandy-coated helicopter with the leather coverIf ya suckin' not fuckin' take off the rubberThen toss that bitch nigga cause I don't love herBalla, Manny bought a private planeThen turned around and sold that bitch to Juve and WayneThey put thirty-inch Lorinsers on that thing manI know you niggas out there just don't understandI'm a 1999 driver, I'm a uptown Third Ward, Magnolia T.C. riderOl' ignorant ass always stuntin'Big ballin' ass nigga you can see him when he comin'Booted up, diamond up, golds be shinnin' upMuthafuckas be blindin' upNiggas at the second line be sayin, I'll be damnedUp in they best fits sayin', Juve got me againBling bling, every time I come around your cityBling bling, pinky ring worth about fiftyBling bling, every time I buy a new rideBling bling, Lorinsers on Yokohama tiresBling bling, every time I come around your cityBling bling, pinky ring worth about fiftyBling bling, every time I buy a new rideBling bling, Lorinsers on Yokahama tires I be that nigga with the ice on meIf it cost less than twenty it don't look right on meI stay flossed out all through the weekMy money long if you don't know I'm the B.GI be fuckin niggas bitches all in they homeNiggas be like, ""Look at that Benz on all that chrome""Diamonds worn by everybody thats in my clickMan I got the price of a mansion 'round my neck and wristMy nigga Baby gettin' a special built machineA Mercedes Benz Wagon 700 V14I know you niggas can't believe thatI can't wait to see ya haters face when ya see thatMan look at thatNiggas wear shades just to stand on side of meHoes say take that chain off boy ya blindin' meAll day my phone ringin' bling bling blingCan see my earring from a mile bling blingBling bling, every time I come around your cityBling bling, pinky ring worth about fiftyBling bling, every time I buy a new rideBling bling, Lorinsers on Yokohama tiresBling bling, every time I come around your cityBling bling, pinky ring worth about fiftyBling bling, every time I buy a new rideBling bling, Lorinsers on Yokohama tiresBling bling, every time I come around your cityBling bling, pinky ring worth about fiftyBling bling, every time I buy a new rideBling bling, Lorinsers on Yokahama tiresTell me what kind-a, nigga got diamonds that'll fuckin blind yaTell me what kind-a, nigga got diamonds that'll fuckin blind yaTell me what kind-a, nigga got diamonds that'll fuckin blind yaTell me what kind-a, nigga got diamonds that'll fuckin blind yaUh, bling bling, what? Bling bling what?(Fade out) haaaaaaaa",https://www.genius.com/BG-Bling-Bling-lyrics
54,54,62,63,2000-01-01,Will 2K,Will Smith,['K-Ci'],25,10,https://www.billboard.com/charts/hot-100/2000-01-01,"Its here and I like it(Whoo! Ha-ha! Ha-ha!)(Big Will, uh K-Ci y'all bringing it in)(What?)Its here and I like it(Say what? What?)(Say what? What?)Gonna pack the dance floor(And do what with it?)Rock the dance floorHere it comes the party of a lifetime31st of DecemberMan I remember when the ball dropped for 90Now it's 9-9, ten years behind meWhat's gonna happen?Don't nobody knowWe'll see when the clock gets to 12-0-0Chaos, the cops gonna block the streetMan who the hell cares?Just don't stop the beatNo time to sleep, yo it's on tonightK-Ci you feeling me right? (Yeah)2-0-0-0, the Will 2 KThe new millennium, yo excuse me Willennium (yeah)It can't get thicker than this (Big Will)Slick like Rick I can't miss(And we gonna party like it's 19)Hold up it isHere it comes another yearCome on everyone, new millenniumHere it comes another yearEveryone, new millenniumThere's a party tonightEverybody was drinkingThe house was screamingAnd the bass was shakingAnd it won't be longTill everybody knowingThat twelve o'clock the roof will be blowingDrinks on me, up the cups, andMidnight coming full thrust, andDick Clark holding it down, andThe second hand rolling around (Na, na, na, na)Hundred thousands deep, world wide pressHate to be the man that gotta clean this messSame resolution, get the moneyAin't where we've been, it's where we gonna beGet ready to hum Auld Lang SyneCause a person that know the words is hard to findFirst soul train line of the yearFour, three, two, one Its here and I like it(Whoo! K-Ci y'all, K-Ci y'all)Gonna pack the dance floor(And do what with it?)Rock the dance floor(Uh, uh, uh)Here it comes another yearCome on everyone, new millenniumHere it comes another yearEveryone, new millenniumSay yeah, yeah(Come on)Say yeah, yeah(I can't hear y'all)Say yeah, yeah(What? What? What?)Say yeah, yeah(Come on, come on)Say yeah, yeah(I can't hear y'all)Say yeah, yeah(I can't hear y'all)Say yeah, yeah(Ha-ha-ha)Yeah, yeah I remember trying to count how old I'd beWhen the clock struck twelve in the year 2GMedianoche finally nearThis will be that anthem amongst the cheersJust the man to usher it inBig Will bringing the heatK-Ci bringing the planRinging it in, waiting for the ball to dropThat 2000 vault we breaking the lockLet hip-hop keep blazing the chartsMay the past keep a warm spot in your heartMay the future hold more joy then painHands in the air waiting for confetti to rainIts here and I like itGonna pack the dance floorRock the dance floorHere it comes another yearCome on everyone, new millenniumHere it comes another yearEveryone, new millenniumThere's a party tonightEverybody was drinkingThe house was screamingAnd the bass was shakingAnd it won't be longTill everybody knowing at twelve o'clockAt 12 o'clockSay what? Say what? Say what? What?Here it comes another yearCome on everyone, new millenniumHere it comes another yearEveryone, new millenniumTrue dat, true dat, true datYo London, uh come onYo Bangkok, come on, come onLA, ha, haThe NYCCome on, say what? Say what?Yo Philly, come on, heyHey Tokyo, come onEverybody say what nowSay what now, say what nowCome on, come on, come on",https://www.genius.com/Will-Smith-Will-2K-lyrics
55,55,63,64,2000-01-01,Deep Inside,Mary J. Blige,,64,8,https://www.billboard.com/charts/hot-100/2000-01-01,"The problem is for many yearsI've lived my life publiclySo it's hard for me to find a man I trustI really trustAnd every time I find someone I like, gotta worry aboutIf it's really me that they seeAnd I thought you were the one, ohhhh...Deep inside I wish that you could see(I wish that they could see)That I'm just plain ol' Mary...MaryDeep inside I wish that you could see(I wish that they could see)That I'm just plain ol' Mary...MaryI don't have a lot of friendsAnd sometimes I have to wonderIs it cash they see when they look at me?'Cause they're lookin' for a ride that's freeSo I made the choice to beGood to those who are good to meDon't judge me or think I'm bitterFor the evil does allow me to see I'm just MaryI'm just Mary, just Mary, just MaryI'm just Mary, just Mary, just Mary(I'm just Mary, can't you see that I, I...)I'm just Mary, just Mary, just Mary(I said, I said I'm just Mary)I'm just Mary, just Mary, just MaryDeep inside I wish that you could see(Deep inside I wish that...)That I'm just plain ol' Mary...Mary(I wish that they can see that I'm Mary, yeah)Deep inside I wish that they could see(Deep inside I wish that...)That I'm just plain ol' Mary...Mary Deep inside I wish that you could see(Every day of my life I wish...)That I'm just plain ol' Mary...MaryDeep inside I wish that they could see(And I wish, I wish, I wish...)That I'm just plain ol' Mary...MaryThe car i drive, the clothes i wearThe diamonds, the furs, and the houseDon't make the womanMaterial things don't mean nothing to meSo, I need someone to stand by me and supply my needsAnd I'm just plain ol' MaryWhy can't you love the person inside, and stop lookin' outsideDeep inside I wish that they could see(I said that I'm just Mary)That I'm just plain ol' Mary...MaryDeep inside I wish that they could see(Said I wish, and I wish, and I wish, and I wish...)That I'm just plain ol' Mary...Mary (MJB, yeah)Deep inside I wish that you could seeIf I could give you something elseBut I can't give you nothing but me all day and all night (Mary)I'm just Mary, Mary, Mary Deep inside I wish that you could see(It can't be the clothes or the car I drive, 'cause I...)That I'm just plain ol' Mary...MaryDeep inside I wish that you could see(See the problem is, for many years, I've lived my life publicly...)That I'm just plain ol' Mary...MaryDeep inside I wish that you could seeThat I'm just plain ol' Mary...Mary",https://www.genius.com/Mary-J-Blige-Deep-Inside-lyrics
56,56,64,65,2000-01-01,All Things Considered,Yankee Grey,,55,16,https://www.billboard.com/charts/hot-100/2000-01-01,"All things considered I'm doin' just fine even thoughYou left a hole the size of Texas deep inside of my heartThe way I feel I should be losing my mindBut all things consideredI'm doin' just fineWoke up this morning to the sound of you slammin' the doorI got served a piece of paper for breakfast that saidYou don't live here no moreAnd the dog won't let me pet him, he just lays aroundAnd growls at my feetAnd the paper boy forgot me againI should have stayed in bed asleepAll things considered I'm doin' just fine even thoughYou left a hole the size of Texas deep inside of my heartThe way I feel I should be losing my mindBut all things consideredI'm doin' just fineWell my car broke down again right before it ran out of gasYeah my boss is still ringing in my headOne more time and your out on your...yeahWell I can't wait till that five o clock whistle blowsSo I can sit in traffic all dayAnd end up going home aloneAll things considered I'm doin' just fine even thoughYou left a hole the size of Texas deep inside of my heartThe way I feel I should be losing my mindBut all things consideredI'm doin' just fineAll things considered I'm doin' just fine even thoughYou left a hole the size of Texas deep inside of my heartThe way I feel I should be losing my mindBut all things consideredI'm doin' just fine",https://www.genius.com/Yankee-Grey-All-Things-Considered-lyrics
57,57,65,66,2000-01-01,I Love You,Martina McBride,,24,19,https://www.billboard.com/charts/hot-100/2000-01-01,"YeahThe sun is shining everydayThe clouds never get in the way for you and meI've known you just a week or twoBut baby I'm so into youCan hardly breatheAnd I'm in so totally wrapped upEmotionally attractedSo physically actingSo recklessly I need youSo desperately sure as the sky is blueBaby, I love youI love youI never knew that I could feel like thisCan hardly wait till our next kissYou're so coolIf I'm dreaming, please don't wake me upBecause baby I can't get enoughOf what you doAnd I'm in so electrically charged upKinetically actingErratically need youFanatically you get to meMagically sure as the sky is blueBaby, I love youI, I can't believe that this is realThe way I feelBaby, I'm gone head over heels(Head over heels)And I'm in so totally wrapped upEmotionally attractedSo physically actingSo recklessly I need youSo desperately sure as the sky is blueYeah And I'm in so electrically charged upKinetically actingErratically need youFanatically you get to meMagically sure as the sky is blueBaby, I love youBaby, I love youDo you love me tooBaby, I love you",https://www.genius.com/Martina-McBride-I-Love-You-lyrics
58,58,66,67,2000-01-01,Sexual (Li Da Di),Amber,,67,21,https://www.billboard.com/charts/hot-100/2000-01-01,Li da diLi da diLi da di da di da liLi da diLi da diLi da di da di da liDon't you know that when you touch me baby that it's tortureBrush up against me I get chills all down my spineWhen you talk to me it's painfulYou don't know what you do to this heart of mineDon't make this one dimentionalThe way I feel is sexualThe way I feel is sexualIt can't just be intellectualThe way I feel is sexualThe way I feel is sexualWhen you're next to meLi da diLi da diLi da di da di da liLi da diLi da diLi da di da di da liI confess I watch your mouth move baby when you're speakingStudy your body when you walk out of the roomYou'll see how much you value my friendshipBut I want you addicted to my perfumeDon't make this one dimentionalThe way I feel is sexualThe way I feel is sexualIt can't just be intellectualThe way I feel is sexualThe way I feel is sexualWhen you're next to meWhen you're next to meLi da diLi da diLi da di da di da li Baby talk to me and let me kiss youLet me show you the things I can do for youDon't make this one dimentionalThe way I feel is sexualThe way I feel is sexualIt can't just be intellectualThe way I feel is sexualThe way I feel is sexualWhen you're next to meWhen you're next to meLi da diLi da diLi da di da di da liDon't make this one dimentional...,https://www.genius.com/Amber-Sexual-Li-Da-Di-lyrics
59,59,67,68,2000-01-01,None Of Ur Friends Business,Ginuwine,,68,4,https://www.billboard.com/charts/hot-100/2000-01-01,"It ain't none of your friends businessIt ain't none of your friends businessWhat we will be doing tonightWe can just hang out all night or grab a biteIt ain't none of your friends businessIt ain't none of your friends businessWhether you get sexed tonightLong as we protect ourselves and do it rightIt ain't none of your friends businessIt ain't none of your friends businessWe can just go to the parkAnd lay there till after darkAt the parkIt ain't none of your friends businessIt ain't none of your friends businessWe can just go to the movies girlCause tonight it's all your worldBabygirlTell your friends, back off of us (cause they're in our business and shit)Cause they were the same ones, who hooked us up (but now they are jealous and shit)Cause they see we are living, ghetto fabulous (and they just can't deal with that shit)But I don't give a damn, long as its me you trust (cause I can't get down with your clique)It ain't none of your friends businessIt ain't none of your friends businessWhat we will be doing tonightWe can just hang out all night or grab a biteIt ain't none of your friends businessIt ain't none of your friends businessWhether you get sexed tonightLong as we protect ourselves and do it rightIt ain't none of your friends businessIt ain't none of your friends businessWe can just go to the parkAnd lay there till after darkAt the parkIt ain't none of your friends businessIt ain't none of your friends businessWe can just go to the movies girlCause tonight it's all your worldBabygirl Put your trust in me girl, leave your friends alone (they make it hard for us and shit)And I don't know how many guys, have done you wrong (but I dont get down with that shit)And I don't know how many guys, who would sing a song (to show you they love you thats it)But lets look to the future girl, cause babe its on (cause I can't get down with your clique)It ain't none of your friends businessIt ain't none of your friends businessWhat we will be doing tonightWe can just hang out all night or grab a biteIt ain't none of your friends businessIt ain't none of your friends businessWhether you get sexed tonightLong as we protect ourselves and do it rightIt ain't none of your friends businessIt ain't none of your friends businessWe can just go to the parkAnd lay there till after darkAt the parkIt ain't none of your friends businessIt ain't none of your friends businessWe can just go to the movies girlCause tonight it's all your worldBabygirl When I see you with your friends, under my breath, all I can say isMmmm Mmmm Damn MmmmWhen i see you with your friends, under my breath, all I can say isMmmm Mmmm Damn MmmmWhen i see you with your friends, under my breath, all I can say isMmmm Mmmm Damn MmmmWhen i see you with your friends, under my breath, all I can say isMmmm Mmmm Damn MmmmIt ain't none of your friends businessIt ain't none of your friends businessWhat we will be doing tonightWe can just hang out all night or grab a biteIt ain't none of your friends businessIt ain't none of your friends businessWhether you get sexed tonightLong as we protect ourselves and do it rightIt ain't none of your friends businessIt ain't none of your friends businessWe can just go to the parkAnd lay there till after darkAt the parkIt ain't none of your friends businessIt ain't none of your friends businessWe can just go to the movies girlCause tonight it's all your worldBabygirlIt ain't none of your friends businessIt ain't none of your friends business babyThey shouldn't give a damn what we do",https://www.genius.com/Ginuwine-None-Of-Ur-Friends-Business-lyrics
60,60,68,69,2000-01-01,Deck The Halls,SHeDAISY,,69,2,https://www.billboard.com/charts/hot-100/2000-01-01,(arranged by SHeDAISY and Phil Symonds)Deck the halls( Deck the halls )With boughs of holly( With boughs of holly )Fa la la la laTis the season( We wish you a merry Christmas)Tis the season( We wish you a merry Christmas )Deck the halls with boughs of hollyFa la la la la la laTis the season to be jollyFa la la la la la laDon we now our gay apparalFa la la la la la laTroll the ancient yuletide carolFa la la la la la la laEverybody sing the yuletide carolFa la la la la la laFa la la la la la laVery merry ChristmasA very merry ChristmasSee the blazing yule before usFa la la la la la laStrike the haro and join the chorusFa la la la la la la laFollow us in merry measureFa la la la la la la laWhile a tale of yuletide treasureFa la la la la la la laLa la la la la la laLa la la la la la la laDeck the hallsWith boughs of holly( We wish you a merry Christmas ),https://www.genius.com/SHeDAISY-Deck-The-Halls-lyrics
61,61,70,71,2000-01-01,Smile,Lonestar,,71,3,https://www.billboard.com/charts/hot-100/2000-01-01,"I still remember the night we metYou said you loved my smileBut your love for me was like a summer breezeOh, it lasted for a whileI could hold on a little tighter I knowBut when you love someone you gotta let 'em go soI'm gonna smile, 'cause I want to make you happyLaugh, so you can't see me cryI'm gonna let you go in styleAnd even if it kills meI'm gonna smileKiss me once for the good times, babyKiss me twice for goodbyeYou can't help how you don't feelAnd it doesn't matter whyGive me a chance to bow out gracefully'Cause that's how I want you to remember meI'm gonna smile, 'cause I want to make you happyLaugh, so you can't see me cryI'm gonna let you go in styleAnd even if it kills meI'm gonna smileI'm gonna smile so you can find the courageLaugh, so you won't see me hurtin'I'm gonna let you go in styleAnd even if it kills meI'm gonna smile",https://www.genius.com/Lonestar-Smile-lyrics
62,62,71,72,2000-01-01,The Great Beyond,R.E.M.,,72,2,https://www.billboard.com/charts/hot-100/2000-01-01,"I've watched the stars fall silent from your eyesAll the sights that I have seenI can't believe that I believedI wished that you could seeThere's a new planet in the solar systemThere is nothing up my sleeveI'm pushing an elephant up the stairsI'm tossing up punch lines that were never thereOver my shoulder a piano fallsCrashing to the groundIn all this talk of time, talk is fineBut I don't want to stay aroundWhy can't we pantomimeJust close our eyes and sleep sweet dreamsMe and you with wings on our feetI'm pushing an elephant up the stairsI'm tossing up punch lines that were never thereOver my shoulder a piano fallsCrashing to the groundI'm breaking through, I'm bending spoonsI'm keeping flowers in full bloomI'm looking for answers from the great beyondI want the humming birds, the dancing bearsSweetest dreams of youI look into the starsI look into the moonI'm pushing an elephant up the stairsI'm tossing up punch lines that were never thereOver my shoulder a piano fallsCrashing to the groundI'm breaking through, I'm bending spoonsI'm keeping flowers in full bloomI'm looking for answers from the great beyond I'm breaking through, I'm bending spoonsI'm keeping flowers in full bloomI'm looking for answers from the greatAnswers from the greatAnswersI'm breaking through, I'm bending spoonsI'm keeping flowers in full bloomI'm looking for answers from the great beyondI'm breaking through, I'm bending spoons(Here's a little agit for the never-believer)I'm keeping flowers in full bloom(Here's a little ghost for the offering)I'm looking for answers from the greatAnswers from the greatAnswersI'm breaking through, I'm bending spoonsI'm keeping flowers in full bloomI'm looking for answers from the great beyond",https://www.genius.com/REM-The-Great-Beyond-lyrics
