,rank,date,title,artist1,artist2,peak_pos,wks_chart,b_url,lyrics,g_url
0,1,2012-01-07,Sexy And I Know It,LMFAO,,1,17,https://www.billboard.com/charts/hot-100/2012-01-07,"Yeah, yeahWhen I walk on by, girls be looking like, ""Damn, he fly""I pimp to the beat, walking down the street in my new LaFreakYeah, this is how I roll, animal print, pants outta controlIt's Redfoo with the big afroAnd like Bruce Leroy, I got the glow, yeahGirl, look at that bodyGirl, look at that bodyGirl, look at that body (I-I-I work out)Girl, look at that bodyGirl, look at that bodyGirl, look at that body (I-I-I work out)When I walk in the spot (Yeah), this is what I see (Okay)Everybody stops and is staring at meI got passion in my pants and I ain't afraid to show itShow it, show it, show itI'm sexy and I know itI'm sexy and I know itYeahWhen I'm at the mall, security just can't fight 'em allAnd when I'm at the beach, I'm in a speedo trying to tan my cheeks (What)This is how I roll, come on, ladies, it's time to goWe headed to the bar, baby, don't be nervousNo shoes, no shirt, and I still get service, watchGirl, look at that bodyGirl, look at that bodyGirl, look at that body (I-I-I work out)Girl, look at that bodyGirl, look at that bodyGirl, look at that body (I-I-I work out)When I walk in the spot (Yeah), this is what I see (Okay)Everybody stops and is staring at meI got passion in my pants and I ain't afraid to show itShow it, show it, show itI'm sexy and I know it (Ay)I'm sexy and I know it Check it out, check it outWiggle, wiggle, wiggle, wiggle, wiggle, yeahWiggle, wiggle, wiggle, wiggle, wiggle, yeahWiggle, wiggle, wiggle, wiggle, wiggle, yeahWiggle, wiggle, wiggle, wiggle, yeah, yeahDo the wiggle, man, I do the wiggle, manYeah, I'm sexy and I know itAy, yeahGirl, look at that bodyGirl, look at that bodyGirl, look at that body (I-I-I work out)Girl, look at that bodyGirl, look at that bodyGirl, look at that body (I-I-I work out)I'm sexy and I know it",https://www.genius.com/LMFAO-Sexy-And-I-Know-It-lyrics
1,2,2012-01-07,We Found Love,Rihanna,['Calvin Harris'],1,14,https://www.billboard.com/charts/hot-100/2012-01-07,"It's like you're screaming, and no one can hearYou almost feel ashamed, that someone could be that importantThat without them, you feel like nothingNo one will ever understand how much it hurtsYou feel hopeless, like nothing can save youAnd when it's over and it's goneYou almost wish you could have all that bad stuff backSo that you could have the goodYellow diamonds in the lightAnd we're standing side by sideAs your shadow crosses mineWhat it takes to come aliveIt's the way I'm feeling, I just can't denyBut I've gotta let it goWe found love in a hopeless placeWe found love in a hopeless placeWe found love in a hopeless placeWe found love in a hopeless placeShine a light through an open doorLove and life, I will divideTurn away 'cause I need you moreFeel the heartbeat in my mindIt's the way I'm feeling, I just can't denyBut I've gotta let it goWe found love in a hopeless placeWe found love in a hopeless placeWe found love in a hopeless placeWe found love in a hopeless place Yellow diamonds in the lightAnd we're standing side by sideAs your shadow crosses mineWe found love in a hopeless placeWe found love in a hopeless placeWe found love in a hopeless placeWe found love in a hopeless placeWe found love in a hopeless placeWe found love in a hopeless placeWe found love in a hopeless placeWe found love in a hopeless place",https://www.genius.com/Rihanna-We-Found-Love-lyrics
2,3,2012-01-07,The One That Got Away,Katy Perry,,3,11,https://www.billboard.com/charts/hot-100/2012-01-07,"Summer after high school, when we first metWe'd make out in your Mustang to RadioheadAnd on my eighteenth birthday, we got matching tattoosUsed to steal your parents' liquor and climb to the roofTalked about our future like we had a clueNever planned that one day I'd be losing youIn another life, I would be your girlWe'd keep all our promises, be us against the worldIn another life, I would make you staySo I don't have to say you were the one that got awayThe one that got awayI was June, and you were my Johnny CashNever one without the other, we made a pactSometimes when I miss you, I put those records on, whoaSomeone said you had your tattoo removedSaw you downtown, singing the bluesIt's time to face the music, I'm no longer your museBut in another life, I would be your girlWe'd keep all our promises, be us against the worldIn another life, I would make you staySo I don't have to say you were the one that got awayThe one that got awayThe oneThe oneThe oneThe one that got awayAll this money can't buy me a time machine, noCan't replace you with a million rings, noI should've told you what you meant to me, whoa'Cause now I pay the priceIn another life, I would be your girlWe'd keep all our promises, be us against the worldIn another life, I would make you staySo I don't have to say you were the one that got awayThe one that got away The one (The one)The one (The one)The one (The one)In another life, I would make you staySo I don't have to say you were the one that got awayThe one that got away",https://www.genius.com/Katy-Perry-The-One-That-Got-Away-lyrics
3,4,2012-01-07,It Will Rain,Bruno Mars,,3,13,https://www.billboard.com/charts/hot-100/2012-01-07,"If you ever leave me, babyLeave some morphine at my door'Cause it would take a whole lot of medicationTo realize what we used to haveWe don't have it anymoreThere's no religion that could save meNo matter how long my knees are on the floor, ohSo keep in mind all the sacrifices I'm makingTo keep you by my sideTo keep you from walking out the door'Cause there'll be no sunlightIf I lose you, babyThere'll be no clear skiesIf I lose you, babyJust like the cloudsMy eyes will do the same if you walk awayEveryday, it'll rainRain, rainI'll never be your mother's favoriteYour daddy can't even look me in the eyeOoh, if I was in their shoes, I'd be doing the same thingSaying, ""There goes my little girlWalking with that troublesome guy""But they're just afraid of something they can't understandOoh, but little darling, watch me change their mindsYeah, for you, I'll try, I'll try, I'll try, I'll tryAnd pick up these broken pieces 'til I'm bleedingIf that'll make you mine'Cause there'll be no sunlightIf I lose you, babyThere'll be no clear skiesIf I lose you, babyJust like the cloudsMy eyes will do the same if you walk awayEveryday, it'll rainRain, rainOoh, don't you say (Don't you say)Goodbye (Goodbye)Don't you say (Don't you say)Goodbye (Goodbye)I'll pick up these broken pieces 'til I'm bleedingIf that'll make it right'Cause there'll be no sunlightIf I lose you, babyAnd there'll be no clear skiesIf I lose you, babyAnd just like the cloudsMy eyes will do the same if you walk awayEveryday, it'll rainRain, rain",https://www.genius.com/Bruno-Mars-It-Will-Rain-lyrics
4,6,2012-01-07,Good Feeling,Flo Rida,,4,13,https://www.billboard.com/charts/hot-100/2012-01-07,"Oh, oh, sometimes I get a good feeling, yeahI get a feeling that INever, never, never, never had before, no noI get a good feeling, yeahOh, oh, sometimes I get a good feeling, yeahI get a feeling that INever, never, never, never had before, no noI get a good feeling, yeahYes I can, doubt better leave, I'm runnin' with this planPull me, grab me, crabs in the bucket can't have meI'll be the president one dayJanuary first, oh, you like that gossip?Like you the one drinking what God sip—dot comNow I got a word for your tongueHow many rolling stones you want?Yeah I got a brand new spiritSpeaking it and it's doneWoke up on the side of the bed like I wonTalk like a winner, my chest to that sunG5 dealer, U.S. to TaiwanNow who can say that? I wanna play backMama knew I was a needle in a hay stackA Bugatti boy, plus MaybachI got a feeling it's a rap, ASAPOh, oh, sometimes I get a good feeling, yeahI get a feeling that INever, never, never, never had before, no noI get a good feeling, yeahOh, oh, sometimes I get a good feeling, yeahI get a feeling that INever, never, never, never had before, no noI get a good feeling, yeahThe mountain top, walk on waterI got power, feel so royalOne second I'ma strike all youDiamond, platinum, no more for youGot adrenaline, never giving inGiving up's not an option, gotta get it inWitness, I got the heart of twenty menNo fear, go to sleep in the lion's denThat flow, that spark, that crownYou looking at the king of the jungle nowStronger than ever, can't hold me downA hundred miles gunning from the pitcher's moundStraight game face, it's game daySee me running through the crowd full of meleeNo trick plays, I'm Bill Gates, take a genius to understand me Oh, oh, sometimes I get a good feeling, yeahI get a feeling that INever, never, never, never had before, no noI get a good feeling, yeahOh, oh, sometimes I get a good feeling, yeahI get a feeling that INever, never, never, never had before, no noI get a good feeling, yeahLet's get it, let's get itI know you got the good feelin'Let's get it, let's get itGotta love the life that we livin'Let's get it, let's get itI know you got the good feelin'Let's get it, let's get itGotta love the life that we livin'Oh, oh, sometimes I get a good feeling, yeahI get a feeling that INever, never, never, never had before, no noI get a good feeling, yeahOh, oh, sometimes I get a good feeling, yeahI get a feeling that INever, never, never, never had before, no noI get a good feeling, yeahOh, oh, sometimes I get a good feeling, yeah",https://www.genius.com/Flo-Rida-Good-Feeling-lyrics
5,7,2012-01-07,Set Fire To The Rain,Adele,,7,17,https://www.billboard.com/charts/hot-100/2012-01-07,"I let it fall, my heartAnd as it fell, you rose to claim itIt was dark, and I was overUntil you kissed my lips and you saved meMy hands, they were strongBut my knees were far too weakTo stand in your armsWithout falling to your feetBut there's a side to youThat I never knew, never knewAll the things you'd sayThey were never true, never trueAnd the games you'd playYou would always win, always winBut I set fire to the rainWatched it pour as I touched your faceWell, it burned while I cried'Cause I heard it screamin' out your nameYour nameWhen I lay with youI could stay there, close my eyesFeel you here foreverYou and me together, nothing is better'Cause there's a side to youThat I never knew, never knewAll the things you'd sayThey were never true, never trueAnd the games you'd playYou would always win, always winBut I set fire to the rainWatched it pour as I touched your faceWell, it burned while I cried'Cause I heard it screamin' out your nameYour nameI set fire to the rainAnd I threw us into the flamesWhen it fell, somethin' died'Cause I knew that that was the last timeThe last time Sometimes, I wake up by the doorThat heart you caught must be waitin' for youEven now, when we're already overI can't help myself from lookin' for youI set fire to the rainWatched it pour as I touched your faceWell, it burned while I cried'Cause I heard it screamin' out your nameYour nameI set fire to the rainAnd I threw us into the flamesWhen it fell, somethin' died'Cause I knew that that was the last timeThe last timeOhOh, noLet it burnOhLet it burnLet it burn",https://www.genius.com/Adele-Set-Fire-To-The-Rain-lyrics
6,8,2012-01-07,Someone Like You,Adele,,1,25,https://www.billboard.com/charts/hot-100/2012-01-07,"I heard that you're settled downThat you found a girl and you're married nowI heard that your dreams came trueGuess she gave you things I didn't give to youOld friend, why are you so shy?Ain't like you to hold back or hide from the lightI hate to turn up out of the blue, uninvitedBut I couldn't stay away, I couldn't fight itI had hoped you'd see my faceAnd that you'd be reminded that for me, it isn't overNever mind, I'll find someone like youI wish nothing but the best for you, tooDon't forget me, I begI remember you saidSometimes it lasts in love, but sometimes it hurts insteadSometimes it lasts in love, but sometimes it hurts insteadYou know how the time fliesOnly yesterday was the time of our livesWe were born and raised in a summer hazeBound by the surprise of our glory daysI hate to turn up out of the blue, uninvitedBut I couldn't stay away, I couldn't fight itI had hoped you'd see my faceAnd that you'd be reminded that for me, it isn't overNever mind, I'll find someone like youI wish nothing but the best for you, tooDon't forget me, I begI remember you saidSometimes it lasts in love, but sometimes it hurts insteadNothing compares, no worries or caresRegrets and mistakes, they're memories madeWho would have known how bittersweet this would taste?Never mind, I'll find someone like youI wish nothing but the best for youDon't forget me, I begI remember you saidSometimes it lasts in love, but sometimes it hurts instead Never mind, I'll find someone like youI wish nothing but the best for you, tooDon't forget me, I begI remember you saidSometimes it lasts in love, but sometimes it hurts insteadSometimes it lasts in love, but sometimes it hurts instead",https://www.genius.com/Adele-Someone-Like-You-lyrics
7,9,2012-01-07,Party Rock Anthem,LMFAO,"['Lauren Bennett', 'GoonRock']",1,40,https://www.billboard.com/charts/hot-100/2012-01-07,"Party RockYeahWoo!Let's go!Party rockers in the house tonightEverybody just have a good time (Yeah)And we gon' make you lose your mind (Woo!)Everybody just have a good time (Clap!)Party rockers in the house tonight (Oh!)Everybody just have a good time (I can feel it, baby!)And we gon' make you lose your mind (Yeah)We just wanna see you...Shake that!In the club: Party rockLooking for your girl? She on my jock (Huh)Non-stop when we in the spotBooty moving weight like she on the block (Woo!)Where the drank? I gots to knowTight jeans, tattoo, 'cause I'm rock and rollHalf-black, half-white: dominoGainin' money, Oprah, doughYo! I'm runnin' through these hoes like DranoI got that devilish flow, rock and roll, no haloWe party rock!, yeah, that's the crew that I'm reppin'On the rise to the top, no Led in our Zeppelin (Hey!)Party rockers in the house tonight (Woo!)Everybody just have a good time (Yeah)And we gon' make you lose your mindEverybody just have a good time (Let's go!)Party rockers in the house tonightEverybody just have a good time (I can feel it, baby!)And we gon' make you lose your mindWe just wanna see you...Shake that! Every day I'm shufflin' (Shake)Shufflin', shufflin' (Shake)Step up fast and be the first girl to make me throw this cashWe get money, don't be mad, now stop - hatin' is badOne more shot for us (Another round!)Please fill up my cup (Don't mess around!)We just wanna see (You shake it now!)Now you wanna be (You're naked now!)Get up, get down, put your hands up to the soundGet up, get down, put your hands up to the soundGet up, get down, put your hands up to the sound (Woo!)Put your hands up to the soundPut your hands up to the sound (Let's go!)Get up, get up, get upGet up, get up, get upGet up, get up, get upPut your hands up to the soundTo the soundPut your hands up (Woo!)Put your hands upPut your hands upPut your hands up Party rockers in the house tonight (Put your hands up, woo!)Everybody just have a good time (Put your hands up)And we gon' make you lose your mind (Put your hands up)Everybody just have a good, good, good timeOh-oh-oh-oh-oh (Put your hands up)Oh-oh-oh-oh-oh (I can feel it, baby!)Oh-oh-oh-oh-oh (Put your hands up)Oh-oh-oh-oh-oh (Put your hands up)Shake that!Every day I'm shu-shufflin'Put yo', Put yo' (Hands up)Put yo', Put yo' (Yeah)Put yo', Put yo' (Woo!)(Hands up)Put yo', Put yo' (Hands up)Put your hands upPut your hands upPut your hands up",https://www.genius.com/LMFAO-Party-Rock-Anthem-lyrics
8,10,2012-01-07,Dance (A$$),Big Sean,['Nicki Minaj'],10,12,https://www.billboard.com/charts/hot-100/2012-01-07,"Ass, ass, ass, ass, assAss, ass, ass, ass, assAss, ass, ass, ass, assAss, ass, ass, ass, assAss, assStop, now make that motherfucker Hammer time likeGo stupid, go stupid, go stupidDo it boi, do it boi, boi, boiDrop it, drop itWobbledy wobbledy, wo-wobble wobbleI'm stacking my paper, my wallet look like a BibleI got girlies half naked, that shit look like the grottoHow your waist anorexic and then your ass is colossal? Like wooDrop that ass, make it boomerangTake my belt off, bitch I'm Pootie TangTippy tow, tippy tay, you gon' get a tip todayFuck that, you gon' get some dick todayI walk in with my crew, and I'm breaking they necksI'm looking all good, I'm making her wetThey pay me respect, they pay me in checksAnd if she look good, she pay me in sexBounce that ass, it's the roundestYou're the best, you deserve a crown bitchRight on that assAss, ass, ass, ass, assAss, ass, ass, ass, assAss, ass, ass, ass, assAss, ass, ass, ass, assAss, assStop, now make that motherfucker Hammer time likeGo stupid, go stupid, go stupidDo it boi, do it boi, boi, boiDrop it, drop itOkay stop, drop it, drop itYou got everybody in here, oh my goshingBad bitches I'm your dada, white girls go GagaWhen the sticks out they bust it open like ya ya's a PinataBitch look down, tell me what's upGirl you talk too much, shut upI got that mad dick, you know it always nut upAnd it got an attitude, no wonder why it's stuck upPop it then backflip, yo gymnastics got me ecstaticYour whole crew look like a pageantI'm dropping cash tips and some taxesGirl you got me about to pass outI'm wondering if cupid gave you ass shots'Cause I'm in love with that ass Ass, ass, ass, ass, assAss, ass, ass, ass, assAss, ass, ass, ass, assAss, ass, ass, ass, assAss, assStop, now make that motherfucker Hammer time likeGo stupid, go stupid, go stupidDo it boi, do it boi, boi, boiWhoa, white girls, black girls, tall girls, fat girlsShake that ass shake that ass, shake that assShake that ass, shake that ass, shake that assShort girls, small girls, skinny girls, all girlsShake that ass shake that ass, shake that assShake that ass, shake that ass, shake that assAnd I want all of thatAss, ass, ass, ass, assAss, ass, ass, ass, assAss, ass, ass, ass, assAss, ass, ass, ass, assAss, assStop, now make that motherfucker Hammer time likeGo stupid, go stupid, go stupidDo it boi, do it boi, boi, boiGo stupid",https://www.genius.com/Big-Sean-Dance-A-lyrics
9,11,2012-01-07,Stereo Hearts,Gym Class Heroes,['Adam Levine'],4,28,https://www.billboard.com/charts/hot-100/2012-01-07,"My heart's a stereoIt beats for you, so listen closeHear my thoughts in every no—Oh—oteMake me your radio (Yeah, ha ha)And turn me up when you feel low (Turn it up a little bit)This melody was meant for you (Right there)Just sing along to my stereo (Gym Class Heroes, baby!)If I was just another dusty record on the shelfWould you blow me off and play me like everybody else?If I ask you to scratch my back, could you manage that?Like yikky-yeah check it, Travie, I can handle thatFurthermore, I apologize for any skipping tracksIt's just the last girl that played me left a couple cracksI used to, used to, used to, used to, now I'm over that'Cause holding grudges over love is ancient artifactsIf I could only find a note to make you understandI’d sing it softly in your ear and grab you by the handJust keep it stuck inside your head, like your favorite tuneAnd know my heart's a stereo that only plays for youMy heart's a stereoIt beats for you, so listen closeHear my thoughts in every no— (Yeah)Oh—ote (Yeah, yeah, come on)Make me your radio (Uh-uh)And turn me up when you feel low (Turn it up)This melody was meant for youJust sing along to my stereoOh, oh oh-oh, ohOh oh-oh (To my stereo)Oh, oh-oh, ohJust sing along to my stereoLet's go!If I was an old-school, fifty-pound boombox (Remember them?)Would you hold me on your shoulder, wherever you walk?Would you turn my volume up in front of the cops? (Turn it up)And crank it higher every time they told you to stop (Peace)And all I ask is that you don't get mad at meWhen you have to purchase mad D batteriesAppreciate every mixtape your friends makeYou never know, we come and go like on the interstate (Never know) I think I finally found a note to make you understandIf you could hit it, sing along and take me by the handJust keep it stuck inside your head, like your favorite tuneYou know my heart's a stereo that only plays for youMy heart's a stereo (Yeah)It beats for you, so listen close (Listen)Hear my thoughts in every no—Oh—ote (Oh, oh)Make me your radio (Come on)And turn me up when you feel low (Turn it up)This melody was meant for youJust sing along to my stereo (Sing along like)Oh, oh oh-oh, oh (Yeah)Oh oh-oh (To my stereo)Oh, oh-oh, ohJust sing along to my stereoI only pray you never leave me behind (Never leave me)Because good music can be so hard to find (So hard to find)I take your hand and hold it closer to mine (Yeah)Thought love was dead, but now you're changing my mind (Yeah, yeah, come on) My heart's a stereo (Yeah)It beats for you, so listen closeHear my thoughts in every no—Oh—ote (Oh, oh, oh)Make me your radio (Ah-huh)And turn me up when you feel low (Turn it up)This melody was meant for youJust sing along to my stereoOh, oh oh-oh, oh (Haha)Yeah, yeah, ye—eh—ehOh oh oh-oh (To my stereo) (Let's go)Yeah, yeah, ye—eh—ehOh, oh-oh (It's your boy, Travie)Yeah, yeah, ye—eh—eh(Gym Class Heroes, baby) Just sing along to my stereoYeah, yeah, yeahYeah",https://www.genius.com/Gym-Class-Heroes-Stereo-Hearts-lyrics
